節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,elo_diff_for_prob,round_key,P1_label,P2_label,P3_label,P1_prob,P2_prob,P3_prob,maxP,margin12,is_close,pred_label,elo_abs,p_draw,actual_norm,p_actual,surprise
第８節第１日,j1_2025_04021903_広島_鹿島,2025-04-02 19:03:00,広島,鹿島,1,0,0.0526,True,0.366,0.259,0.375,D,H,0.0,D,0.0526,第８節第１日,A,H,D,0.375,0.366,0.259,0.375,0.009000000000000008,True,A,0.0526,0.259,H,0.366,1.0051219455807707
第８節第１日,j1_2025_04021903_東京Ｖ_FC東京,2025-04-02 19:03:00,東京Ｖ,FC東京,2,2,0.2632,True,0.351,0.256,0.393,A,D,0.0,A,0.2632,第８節第１日,A,H,D,0.393,0.351,0.256,0.393,0.04200000000000004,False,A,0.2632,0.256,D,0.256,1.3625778345025745
第８節第１日,j1_2025_04021903_横浜FC_神戸,2025-04-02 19:03:00,横浜FC,神戸,0,1,-0.3684,False,0.305,0.247,0.449,A,A,1.0,A,-0.3684,第８節第１日,A,H,D,0.449,0.305,0.247,0.449,0.14400000000000002,False,A,0.3684,0.247,A,0.449,0.8007323912398827
第８節第１日,j1_2025_04021903_川崎Ｆ_湘南,2025-04-02 19:03:00,川崎Ｆ,湘南,2,0,1.0,True,0.393,0.256,0.351,H,H,1.0,H,1.0,第８節第１日,H,A,D,0.393,0.351,0.256,0.393,0.04200000000000004,False,H,1.0,0.256,H,0.393,0.9339456671128757
第８節第１日,j1_2025_04021903_新潟_福岡,2025-04-02 19:03:00,新潟,福岡,0,1,-0.2632,False,0.314,0.248,0.438,A,A,1.0,A,-0.2632,第８節第１日,A,H,D,0.438,0.314,0.248,0.438,0.124,False,A,0.2632,0.248,A,0.438,0.8255363686056909
第８節第１日,j1_2025_04021904_名古屋_横浜FM,2025-04-02 19:04:00,名古屋,横浜FM,2,0,0.6316,True,0.321,0.25,0.43,A,H,0.0,A,0.6316,第８節第１日,A,H,D,0.43,0.321,0.25,0.43,0.10899999999999999,False,A,0.6316,0.25,H,0.321,1.1363141558521213
第８節第１日,j1_2025_04021933_浦和_清水,2025-04-02 19:33:00,浦和,清水,2,1,1.2105,True,0.383,0.258,0.359,D,H,1.0,D,1.2105,第８節第１日,H,A,D,0.383,0.359,0.258,0.383,0.02400000000000002,True,H,1.2105,0.258,H,0.383,0.959720289801491
第９節第１日,j1_2025_04051403_横浜FM_東京Ｖ,2025-04-05 14:03:00,横浜FM,東京Ｖ,0,0,0.5263,True,0.429,0.25,0.321,H,D,0.0,H,0.5263,第９節第１日,H,A,D,0.429,0.321,0.25,0.429,0.10799999999999998,False,H,0.5263,0.25,D,0.25,1.3862943611198906
第９節第２日,j1_2025_04061301_岡山_FC東京,2025-04-06 13:01:00,岡山,FC東京,1,0,0.1579,True,0.43,0.25,0.32,H,H,1.0,H,0.1579,第９節第２日,H,A,D,0.43,0.32,0.25,0.43,0.10999999999999999,False,H,0.1579,0.25,H,0.43,0.843970070294529
第９節第２日,j1_2025_04061403_横浜FC_清水,2025-04-06 14:03:00,横浜FC,清水,2,0,0.1579,True,0.267,0.239,0.494,A,H,0.0,A,0.1579,第９節第２日,A,H,D,0.494,0.267,0.239,0.494,0.22699999999999998,False,A,0.1579,0.239,H,0.267,1.3205066205818874
第９節第２日,j1_2025_04061403_神戸_新潟,2025-04-06 14:03:00,神戸,新潟,0,1,1.3684,True,0.582,0.222,0.196,H,A,0.0,H,1.3684,第９節第２日,H,D,A,0.582,0.222,0.196,0.582,0.36,False,H,1.3684,0.222,A,0.196,1.6296406197516198
第９節第２日,j1_2025_04061403_町田_川崎Ｆ,2025-04-06 14:03:00,町田,川崎Ｆ,2,2,0.1579,True,0.36,0.258,0.383,D,D,0.0,D,0.1579,第９節第２日,A,H,D,0.383,0.36,0.258,0.383,0.02300000000000002,True,A,0.1579,0.258,D,0.258,1.3547956940605197
第９節第２日,j1_2025_04061404_福岡_浦和,2025-04-06 14:04:00,福岡,浦和,1,0,0.5789,True,0.388,0.257,0.355,D,H,1.0,D,0.5789,第９節第２日,H,A,D,0.388,0.355,0.257,0.388,0.03300000000000003,False,H,0.5789,0.257,H,0.388,0.9467499393588635
第９節第２日,j1_2025_04061503_広島_Ｃ大阪,2025-04-06 15:03:00,広島,Ｃ大阪,2,1,0.6316,True,0.564,0.226,0.21,H,H,1.0,H,0.6316,第９節第２日,H,D,A,0.564,0.226,0.21,0.564,0.33799999999999997,False,H,0.6316,0.226,H,0.564,0.5727010274840783
第９節第２日,j1_2025_04061503_柏_Ｇ大阪,2025-04-06 15:03:00,柏,Ｇ大阪,1,0,1.1053,True,0.57,0.225,0.205,H,H,1.0,H,1.1053,第９節第２日,H,D,A,0.57,0.225,0.205,0.57,0.345,False,H,1.1053,0.225,H,0.57,0.5621189181535413
第９節第２日,j1_2025_04061503_鹿島_京都,2025-04-06 15:03:00,鹿島,京都,3,4,0.4211,True,0.493,0.239,0.268,H,A,0.0,H,0.4211,第９節第２日,H,A,D,0.493,0.268,0.239,0.493,0.22499999999999998,False,H,0.4211,0.239,A,0.268,1.3167682984712803
第９節第２日,j1_2025_04061503_湘南_名古屋,2025-04-06 15:03:00,湘南,名古屋,2,1,0.3684,True,0.597,0.219,0.184,H,H,1.0,H,0.3684,第９節第２日,H,D,A,0.597,0.219,0.184,0.597,0.378,False,H,0.3684,0.219,H,0.597,0.515838165589535
第１０節第１日,j1_2025_04111903_FC東京_柏,2025-04-11 19:03:00,FC東京,柏,1,1,-0.3158,False,0.209,0.226,0.565,A,D,0.0,A,-0.3158,第１０節第１日,A,D,H,0.565,0.226,0.209,0.565,0.33899999999999997,False,A,0.3158,0.226,D,0.226,1.487220279709851
第１０節第２日,j1_2025_04121403_Ｇ大阪_名古屋,2025-04-12 14:03:00,Ｇ大阪,名古屋,2,0,1.2105,True,0.54,0.23,0.23,H,H,1.0,H,1.2105,第１０節第２日,H,A,D,0.54,0.23,0.23,0.54,0.31000000000000005,False,H,1.2105,0.23,H,0.54,0.616186139423817
第１０節第２日,j1_2025_04121403_清水_川崎Ｆ,2025-04-12 14:03:00,清水,川崎Ｆ,1,1,-0.1053,False,0.306,0.247,0.447,A,D,0.0,A,-0.1053,第１０節第２日,A,H,D,0.447,0.306,0.247,0.447,0.14100000000000001,False,A,0.1053,0.247,D,0.247,1.3983669423541598
第１０節第２日,j1_2025_04121403_広島_岡山,2025-04-12 14:03:00,広島,岡山,0,1,0.7368,True,0.526,0.233,0.241,H,A,0.0,H,0.7368,第１０節第２日,H,A,D,0.526,0.241,0.233,0.526,0.28500000000000003,False,H,0.7368,0.233,A,0.241,1.422958345491482
第１０節第２日,j1_2025_04121403_福岡_横浜FM,2025-04-12 14:03:00,福岡,横浜FM,2,1,0.5789,True,0.479,0.241,0.28,H,H,1.0,H,0.5789,第１０節第２日,H,A,D,0.479,0.28,0.241,0.479,0.19899999999999995,False,H,0.5789,0.241,H,0.479,0.7360546815712219
第１０節第２日,j1_2025_04121503_東京Ｖ_神戸,2025-04-12 15:03:00,東京Ｖ,神戸,0,1,-0.1053,False,0.31,0.248,0.442,D,A,1.0,D,-0.1053,第１０節第２日,A,H,D,0.442,0.31,0.248,0.442,0.132,False,A,0.1053,0.248,A,0.442,0.816445396904439
第１０節第２日,j1_2025_04121505_Ｃ大阪_鹿島,2025-04-12 15:05:00,Ｃ大阪,鹿島,1,0,-0.1579,False,0.221,0.228,0.55,A,H,0.0,A,-0.1579,第１０節第２日,A,D,H,0.55,0.228,0.221,0.55,0.32200000000000006,False,A,0.1579,0.228,H,0.221,1.5095925774643841
第１０節第２日,j1_2025_04121603_京都_湘南,2025-04-12 16:03:00,京都,湘南,2,0,1.1579,True,0.434,0.249,0.317,D,H,1.0,D,1.1579,第１０節第２日,H,A,D,0.434,0.317,0.249,0.434,0.11699999999999999,False,H,1.1579,0.249,H,0.434,0.8347107448817322
第１０節第３日,j1_2025_04131403_町田_浦和,2025-04-13 14:03:00,町田,浦和,0,2,0.6842,True,0.48,0.241,0.279,H,A,0.0,H,0.6842,第１０節第３日,H,A,D,0.48,0.279,0.241,0.48,0.20099999999999996,False,H,0.6842,0.241,A,0.279,1.2765434971607714
第１０節第３日,j1_2025_04131403_新潟_横浜FC,2025-04-13 14:03:00,新潟,横浜FC,0,0,0.1053,True,0.355,0.257,0.388,A,D,0.0,A,0.1053,第１０節第３日,A,H,D,0.388,0.355,0.257,0.388,0.03300000000000003,False,A,0.1053,0.257,D,0.257,1.3586791940869172
第１１節第１日,j1_2025_04191403_新潟_京都,2025-04-19 14:03:00,新潟,京都,1,2,-1.0526,False,0.151,0.21,0.639,A,A,1.0,A,-1.0526,第１１節第１日,A,D,H,0.639,0.21,0.151,0.639,0.42900000000000005,False,A,1.0526,0.21,A,0.639,0.44785082460460224
第１１節第２日,j1_2025_04201403_横浜FC_Ｇ大阪,2025-04-20 14:03:00,横浜FC,Ｇ大阪,1,1,0.1053,True,0.331,0.252,0.416,A,D,0.0,A,0.1053,第１１節第２日,A,H,D,0.416,0.331,0.252,0.416,0.08499999999999996,False,A,0.1053,0.252,D,0.252,1.3783261914707137
第１１節第２日,j1_2025_04201403_名古屋_広島,2025-04-20 14:03:00,名古屋,広島,2,1,-0.2632,False,0.165,0.214,0.621,A,H,0.0,A,-0.2632,第１１節第２日,A,D,H,0.621,0.214,0.165,0.621,0.40700000000000003,False,A,0.2632,0.214,H,0.165,1.8018098050815563
第１１節第２日,j1_2025_04201403_神戸_町田,2025-04-20 14:03:00,神戸,町田,1,0,0.2632,True,0.342,0.254,0.403,D,H,0.0,D,0.2632,第１１節第２日,A,H,D,0.403,0.342,0.254,0.403,0.061,False,A,0.2632,0.254,H,0.342,1.0729445419195318
第１１節第２日,j1_2025_04201403_岡山_鹿島,2025-04-20 14:03:00,岡山,鹿島,1,2,-0.4211,False,0.289,0.243,0.468,A,A,1.0,A,-0.4211,第１１節第２日,A,H,D,0.468,0.289,0.243,0.468,0.17900000000000005,False,A,0.4211,0.243,A,0.468,0.7592869830644903
第１１節第２日,j1_2025_04201404_清水_福岡,2025-04-20 14:04:00,清水,福岡,3,1,0.2632,True,0.354,0.257,0.389,D,H,0.0,D,0.2632,第１１節第２日,A,H,D,0.389,0.354,0.257,0.389,0.03500000000000003,False,A,0.2632,0.257,H,0.354,1.0384583658483626
第１１節第２日,j1_2025_04201503_Ｃ大阪_FC東京,2025-04-20 15:03:00,Ｃ大阪,FC東京,1,1,0.4211,True,0.42,0.251,0.328,H,D,0.0,H,0.4211,第１１節第２日,H,A,D,0.42,0.328,0.251,0.42,0.09199999999999997,False,H,0.4211,0.251,D,0.251,1.3823023398503531
第１１節第２日,j1_2025_04201503_湘南_柏,2025-04-20 15:03:00,湘南,柏,0,1,-0.6842,False,0.275,0.24,0.484,A,A,1.0,A,-0.6842,第１１節第２日,A,H,D,0.484,0.275,0.24,0.484,0.20899999999999996,False,A,0.6842,0.24,A,0.484,0.7256703722655053
第１１節第２日,j1_2025_04201503_川崎Ｆ_東京Ｖ,2025-04-20 15:03:00,川崎Ｆ,東京Ｖ,0,0,0.7368,True,0.588,0.221,0.191,H,D,0.0,H,0.7368,第１１節第２日,H,D,A,0.588,0.221,0.191,0.588,0.367,False,H,0.7368,0.221,D,0.221,1.5095925774643841
第１１節第２日,j1_2025_04201603_浦和_横浜FM,2025-04-20 16:03:00,浦和,横浜FM,3,1,1.3158,True,0.558,0.227,0.215,H,H,1.0,H,1.3158,第１１節第２日,H,D,A,0.558,0.227,0.215,0.558,0.33100000000000007,False,H,1.3158,0.227,H,0.558,0.583396316600826
第１２節第１日,j1_2025_04161903_横浜FM_清水,2025-04-16 19:03:00,横浜FM,清水,2,3,0.3684,True,0.305,0.247,0.448,A,A,1.0,A,0.3684,第１２節第１日,A,H,D,0.448,0.305,0.247,0.448,0.14300000000000002,False,A,0.3684,0.247,A,0.448,0.8029620465671519
第１２節第１日,j1_2025_04161903_神戸_川崎Ｆ,2025-04-16 19:03:00,神戸,川崎Ｆ,2,1,0.4211,True,0.332,0.252,0.416,A,H,0.0,A,0.4211,第１２節第１日,A,H,D,0.416,0.332,0.252,0.416,0.08399999999999996,False,A,0.4211,0.252,H,0.332,1.1026203100656484
第１２節第２日,j1_2025_04251903_東京Ｖ_Ｃ大阪,2025-04-25 19:03:00,東京Ｖ,Ｃ大阪,1,0,0.2632,True,0.367,0.259,0.373,D,H,0.0,D,0.2632,第１２節第２日,A,H,D,0.373,0.367,0.259,0.373,0.006000000000000005,True,A,0.2632,0.259,H,0.367,1.0023934309275668
第１２節第２日,j1_2025_04251903_町田_湘南,2025-04-25 19:03:00,町田,湘南,0,1,1.0,True,0.463,0.244,0.293,H,A,0.0,H,1.0,第１２節第２日,H,A,D,0.463,0.293,0.244,0.463,0.17000000000000004,False,H,1.0,0.244,A,0.293,1.2275826699650698
第１２節第２日,j1_2025_04251903_京都_横浜FC,2025-04-25 19:03:00,京都,横浜FC,2,1,1.0526,True,0.651,0.207,0.142,H,H,1.0,H,1.0526,第１２節第２日,H,D,A,0.651,0.207,0.142,0.651,0.44400000000000006,False,H,1.0526,0.207,H,0.651,0.42924563677356775
