round_key,n_matches,avg_maxP,avg_margin12,close_rate,pred_rate_H,pred_rate_D,pred_rate_A,avg_p_draw,corr_eloabs_pdraw,acc,actual_rate_H,actual_rate_D,actual_rate_A,brier,logloss,expected_correct_proxy,delta_hits_proxy
第１４節第２日,2,0.652,0.4455,0.0,0.5,0.0,0.5,0.20650000000000002,0.9999999999999999,1.0,0.5,0.0,0.5,0.18436,0.42813549942420803,0.652,0.696
第１５節第１日,6,0.5351666666666667,0.2855,0.0,0.6666666666666666,0.0,0.3333333333333333,0.23083333333333333,-0.8746005300873976,0.5,0.3333333333333333,0.16666666666666666,0.5,0.6763518333333335,1.125967285645147,0.5351666666666667,-0.2110000000000003
第１５節第２日,2,0.469,0.181,0.0,0.0,0.0,1.0,0.243,1.0,1.0,0.0,0.0,1.0,0.42858799999999997,0.7633371472060528,0.469,1.062
第１５節第３日,2,0.546,0.29200000000000004,0.0,0.5,0.0,0.5,0.22799999999999998,-1.0,1.0,0.5,0.0,0.5,0.32225,0.6182962097064315,0.546,0.9079999999999999
第１６節第１日,3,0.5766666666666667,0.35366666666666663,0.0,0.3333333333333333,0.0,0.6666666666666666,0.223,-0.9585194770591243,0.3333333333333333,1.0,0.0,0.0,0.7152606666666667,1.1685194656622995,0.5766666666666667,-0.73
第１６節第２日,7,0.4981428571428571,0.215,0.14285714285714285,0.5714285714285714,0.0,0.42857142857142855,0.2365714285714286,-0.35983825239945716,0.42857142857142855,0.2857142857142857,0.42857142857142855,0.2857142857142857,0.6939917142857143,1.115863564987381,0.4981428571428571,-0.48699999999999966
第１７節第１日,8,0.5743750000000001,0.347375,0.0,0.75,0.0,0.25,0.22275,0.21640310830242812,0.625,0.625,0.125,0.25,0.53555975,0.9173252521976917,0.5743750000000001,0.40499999999999936
第１７節第２日,2,0.519,0.2725,0.0,1.0,0.0,0.0,0.234,,1.0,1.0,0.0,0.0,0.34688050000000004,0.6558532520646589,0.519,0.962
第１８節第１日,2,0.454,0.15350000000000003,0.5,0.5,0.0,0.5,0.2455,-1.0,0.5,1.0,0.0,0.0,0.7380490000000001,1.1859032810179992,0.454,0.09199999999999997
第１８節第２日,8,0.5445,0.2895,0.0,0.125,0.0,0.875,0.226875,-0.5787706233745296,0.125,0.5,0.375,0.125,0.919984,1.4864967800841482,0.5445,-3.356
第１９節第１日,7,0.5084285714285715,0.2402857142857143,0.14285714285714285,0.8571428571428571,0.0,0.14285714285714285,0.23542857142857146,-0.11847780018919735,0.42857142857142855,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.6434265714285715,1.0828190348534166,0.5084285714285715,-0.5590000000000002
第１９節第２日,3,0.48266666666666663,0.18133333333333335,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.239,-0.9530450452158721,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.5134146666666667,0.893384191321616,0.48266666666666663,0.552
第２０節第１日,1,0.377,0.013000000000000012,1.0,0.0,0.0,1.0,0.259,,0.0,1.0,0.0,0.0,0.6137060000000001,1.0106014113453965,0.377,-0.377
第２０節第２日,4,0.49350000000000005,0.21700000000000003,0.0,0.25,0.0,0.75,0.2385,0.2636073159468796,0.5,0.0,0.5,0.5,0.6105214999999999,1.0299258327613185,0.49350000000000005,0.0259999999999998
第２０節第３日,5,0.4816,0.19540000000000002,0.0,0.8,0.0,0.2,0.24020000000000002,-0.657204712537236,0.6,0.4,0.2,0.4,0.49477760000000004,0.8642327070763871,0.4816,0.5920000000000001
第２１節第１日,7,0.4695714285714286,0.18000000000000002,0.14285714285714285,0.7142857142857143,0.0,0.2857142857142857,0.24271428571428572,-0.1806799083936019,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.629329,1.0543718481275275,0.4695714285714286,-0.2869999999999999
第２１節第２日,2,0.517,0.2525,0.0,0.5,0.0,0.5,0.23399999999999999,1.0,1.0,0.5,0.0,0.5,0.35888,0.6695050460732236,0.517,0.966
第２１節第３日,1,0.636,0.42500000000000004,0.0,1.0,0.0,0.0,0.211,,1.0,1.0,0.0,0.0,0.200426,0.4525567156420149,0.636,0.364
第２２節第１日,1,0.509,0.254,0.0,1.0,0.0,0.0,0.236,,0.0,0.0,1.0,0.0,0.907802,1.443923473956527,0.509,-0.509
第２２節第２日,7,0.5432857142857143,0.3041428571428572,0.0,0.7142857142857143,0.0,0.2857142857142857,0.22942857142857145,-0.6381269544132693,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.7065381428571429,1.1696820865940438,0.5432857142857143,-0.8029999999999999
第２２節第３日,2,0.5365,0.29850000000000004,0.0,0.0,0.0,1.0,0.23099999999999998,-1.0,0.5,0.5,0.0,0.5,0.589958,0.9877462107861412,0.5365,-0.07299999999999995
第２３節第１日,9,0.5245555555555556,0.2587777777777778,0.0,0.7777777777777778,0.0,0.2222222222222222,0.23199999999999996,-0.9152604814071905,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.4995142222222222,0.8624197797110187,0.5245555555555556,0.2789999999999999
第２３節第２日,1,0.563,0.33699999999999997,0.0,1.0,0.0,0.0,0.226,,0.0,0.0,1.0,0.0,0.960566,1.487220279709851,0.563,-0.563
第２４節第１日,2,0.5095000000000001,0.255,0.0,0.0,0.0,1.0,0.236,1.0,0.0,0.5,0.5,0.0,0.876841,1.3814855600009834,0.5095000000000001,-1.0190000000000001
