team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
京都サンガF.C.,11.0,3.8,10.6,1.2,398.2,73.0,6.5,69.2,11.8,46.5,12.8,14.3,50.6,46.0,8.7,17.3,33.3,6.2,115.0,123.0,43.0,36.0,43.0,28.0,55.0,17.7,5.7,1.8,30.5,19.0,67.5,21.3,2.3,11.2,1.8,10.4,,0.027
名古屋グランパス,12.7,4.2,9.2,1.2,520.8,80.3,9.3,53.6,10.2,45.9,18.0,11.2,46.2,55.7,10.5,15.2,37.2,8.8,110.0,115.0,48.0,35.0,31.0,31.0,53.0,13.8,4.5,1.8,21.7,15.8,64.2,18.3,0.8,9.6,1.6,9.6,,0.027
川崎フロンターレ,16.3,5.5,12.2,2.0,509.2,81.4,13.7,57.3,15.5,62.4,14.7,10.8,44.5,52.3,15.7,17.0,33.8,9.7,112.0,116.0,56.0,32.0,26.0,31.0,65.0,14.0,5.7,1.5,23.8,15.7,58.5,16.5,2.3,9.2,1.5,8.3,,0.027
東京ヴェルディ,7.5,2.0,4.4,0.3,381.3,75.7,8.3,40.0,9.3,42.9,6.7,13.7,42.9,41.2,7.3,15.3,28.3,4.7,117.0,130.0,38.0,45.0,46.0,27.0,51.0,17.0,4.7,1.3,29.7,16.7,72.0,22.0,1.2,10.1,1.6,10.1,2.0,0.0
柏レイソル,13.3,5.2,12.5,1.7,651.0,85.4,14.5,39.1,19.7,51.7,15.5,9.7,47.2,58.3,15.7,17.2,31.2,8.5,118.0,104.0,48.0,29.0,26.0,40.0,61.0,10.5,3.3,1.3,18.7,16.5,69.7,16.2,1.2,6.8,1.1,5.2,1.0,0.0
横浜F・マリノス,10.8,3.3,15.4,1.7,384.2,72.5,8.0,47.9,10.5,39.7,13.8,15.8,45.7,48.7,9.2,16.7,32.3,7.3,113.0,116.0,38.0,35.0,43.0,28.0,47.0,13.7,3.8,1.3,27.7,20.2,63.6,21.0,1.7,10.0,1.6,9.2,3.0,0.0
水戸ホーリーホック,12.7,4.3,14.5,1.8,391.8,77.8,7.2,55.8,6.7,47.5,9.7,14.2,49.1,42.3,9.3,13.8,31.7,9.3,118.0,98.0,34.0,28.0,35.0,28.0,42.0,14.5,4.7,1.3,32.0,14.2,69.4,22.7,1.7,9.5,1.5,9.5,,0.027
浦和レッズ,15.2,4.7,13.2,2.0,412.3,75.7,12.3,51.4,11.5,56.5,12.5,19.7,49.8,51.3,12.0,16.7,36.3,9.4,115.0,126.0,47.0,42.0,36.0,29.0,57.0,14.2,6.5,2.5,26.7,15.3,67.4,19.0,1.5,8.9,1.4,8.9,1.0,0.0
清水エスパルス,10.2,3.2,4.9,0.5,330.2,70.7,11.7,57.1,10.5,49.2,15.7,19.0,53.0,41.0,8.2,15.0,33.8,8.6,108.0,117.0,43.0,31.0,42.0,23.0,44.0,15.8,5.3,1.2,27.3,13.8,60.2,21.7,0.7,9.1,1.5,9.1,1.0,0.0
鹿島アントラーズ,17.0,5.0,12.7,2.2,622.7,82.1,11.0,47.0,16.5,52.5,18.2,17.2,53.6,57.7,16.5,15.3,36.8,11.7,114.0,124.0,56.0,38.0,30.0,36.0,68.0,10.5,3.5,1.8,21.0,14.8,68.5,14.0,1.7,6.0,1.0,5.2,1.0,0.0
