team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
新潟,8.9,2.8,12.5,1.1,428.6,74.2,10.3,41.9,13.0,45.3,11.9,17.6,48.2,49.5,6.5,17.3,35.0,8.9,12.9,4.7,1.0,28.4,19.7,66.1,22.3,2.1,9.9,1.1,9.9,6.0,0.0
札幌,12.0,3.0,6.5,0.8,560.2,78.2,9.4,47.1,13.2,42.0,14.7,15.4,50.5,54.9,11.7,16.9,35.4,12.1,13.1,3.9,1.4,19.9,20.2,61.5,20.7,1.7,13.6,1.5,13.6,2.0,0.0
栃木C,10.1,3.0,9.9,1.0,420.6,70.5,15.6,52.1,11.4,49.5,14.7,18.3,50.6,52.4,8.2,18.9,38.1,8.8,15.9,4.9,2.0,28.2,17.3,62.2,21.2,0.7,14.2,1.5,13.4,2.0,0.0
横浜FC,15.2,4.2,11.7,1.8,451.9,73.6,13.4,52.1,10.2,45.7,18.8,15.6,50.2,57.5,11.3,20.1,37.7,13.3,11.1,4.9,1.8,17.4,18.9,69.4,18.3,0.8,10.1,1.1,9.3,1.0,0.0
湘南,12.2,4.7,16.4,2.0,458.2,74.2,12.8,48.7,14.0,38.9,13.3,19.1,51.8,54.4,10.6,20.4,37.7,10.5,11.6,2.3,0.8,24.8,22.1,64.3,22.1,1.7,10.1,1.1,9.3,3.0,0.0
甲府,10.3,3.1,11.8,1.2,403.1,69.8,11.1,44.0,12.2,47.3,15.2,20.1,47.9,49.3,9.2,20.2,40.0,8.1,11.6,3.7,0.7,27.4,23.9,64.2,23.6,2.4,11.0,1.2,10.2,3.0,0.0
磐田,11.9,2.5,4.7,0.6,447.1,72.6,9.6,51.2,12.0,47.2,17.6,21.6,51.6,50.9,9.3,16.4,36.2,11.3,11.1,4.2,1.2,19.7,17.9,64.6,19.8,1.6,11.9,1.3,11.1,3.0,0.0
秋田,12.1,3.3,11.9,1.4,282.0,54.2,9.3,41.7,7.4,41.8,12.4,29.8,54.4,43.2,7.3,15.4,41.9,12.3,10.4,3.1,0.7,32.5,17.0,68.0,23.2,1.3,9.4,1.0,8.6,5.0,0.0
藤枝,11.4,3.4,11.7,1.3,379.7,70.9,13.9,47.2,11.9,42.1,15.4,17.9,50.9,50.0,10.9,19.4,34.0,11.9,14.3,3.5,1.3,29.0,20.7,62.4,21.1,0.9,14.2,1.5,13.5,1.0,0.0
鳥栖,13.4,3.8,7.4,1.0,539.9,79.1,14.4,50.0,9.6,43.0,15.2,14.7,43.1,57.8,10.0,17.4,36.2,11.2,9.8,3.1,1.0,22.8,15.3,66.7,18.4,1.2,8.8,0.9,8.8,3.0,0.0
