season,origin_competition_key,applies_across_competitions,team,player_name,absence_type,start_date,expected_weeks,expected_return_date,"note
※ cardは、欠場日の翌日をexpected_return_dateとする。",,
2026,regular_2026_27,1,東京Ｖ,寺沼星文,injury,26/09/10,10 ,26/11/19,公式 左膝外側半月板損傷で全治8-10週,,
2026,regular_2026_27,1,東京Ｖ,宮原和也,injury,26/09/10,40 ,27/06/17,公式 右膝前十字靭帯損傷、半月板損傷で全治8-10ヶ月,,
2026,regular_2026_27,1,東京Ｖ,森田晃樹,injury,26/09/10,40 ,27/06/17,公式 左脛骨疲労骨折で全治8-10週,,
2026,regular_2026_27,1,千葉,喜田陽,injury,26/09/10,8 ,26/11/05,公式 右腓骨骨折,,
2026,regular_2026_27,1,広島,山崎大地,injury,26/09/10,40 ,27/06/17,公式 前十字靭帯再建術、前外側構成体補強術を行い全治10ヶ月,,
2026,regular_2026_27,1,千葉,飯田貴敬,injury,26/09/12,8 ,26/11/07,公式 左大腿二頭筋肉離れで全治6-8週間,,
2026,regular_2026_27,1,長崎,高畑奎汰,injury,26/09/14,5 ,26/10/19,公式 左内側側副靱帯損傷および内側ハムストリング損傷,,
2026,regular_2026_27,1,長崎,ルカラドティッチ,injury,26/09/14,12 ,26/12/07,公式 右膝内側半月板損傷,,
2026,regular_2026_27,1,長崎,エリソン,card,26/09/15,1 ,26/09/22,J1(f)　２０２６／２７明治安田Ｊ１リーグ第８節第１日(09/19),,
2026,regular_2026_27,1,長崎,明本考浩,card,26/09/15,1 ,26/09/22,J1(a)　２０２６／２７明治安田Ｊ１リーグ第８節第２日(09/20),,
2026,regular_2026_27,1,長崎,宮本英治,card,26/09/15,1 ,26/09/22,J1(f)　２０２６／２７明治安田Ｊ１リーグ第８節第１日(09/19),,
2026,regular_2026_27,1,長崎,甲斐健太郎,card,26/09/15,1 ,26/09/22,J3(a)　２０２６／２７明治安田Ｊ３リーグ第７節第３日(09/20),,
2026,regular_2026_27,1,FC東京,橋本健人,injury,26/09/15,8 ,26/11/10,公式 右腓骨骨幹部骨折,,
2026,regular_2026_27,1,徳島,尾上瑠聖,injury,26/09/16,8 ,26/11/11,公式 左足関節外側靭帯損傷,,
2026,regular_2026_27,1,大宮,加藤聖,injury,26/09/16,4 ,26/10/14,公式 右頬骨骨折および脳震盪,,
2026,regular_2026_27,1,富山,亀田歩夢,injury,26/09/17,32 ,27/04/29,公式 右膝前十時靭帯断裂・内側側副靱帯損傷・外側半月板損傷→32週程度（約7～8か月） を暫定値に,,
2026,regular_2026_27,1,いわき,岩下航,injury,26/09/17,8 ,26/11/12,公式 右大腿二頭筋肉離れで全治2ヶ月程度を要する見込み,,
2026,regular_2026_27,1,名古屋,浅野雄也,injury,26/09/17,25 ,27/03/11,公式 右アキレス腱断裂,,
2026,regular_2026_27,1,磐田,渡邉りょう,injury,26/09/18,8 ,26/11/13,公式 右腓腹筋肉離れでトレーニング合流まで2ヶ月程度の見込み,,
