第●節,試合日,試合開始,スタジアム,ホームチーム,ホーム得点,試合状況,アウェイ得点,アウェイチーム
14節,,15:03,ノエスタ,神戸,2,試合終了,0,岡山
14節,,19:03,サンガＳ,京都,2,試合終了,3,Ｃ大阪
14節,,14:00,埼玉,浦和,,ＶＳ,,Ｇ大阪
14節,,14:00,豊田ス,名古屋,,ＶＳ,,岡山
14節,,14:00,ノエスタ,神戸,,ＶＳ,,Ｃ大阪
14節,,14:00,ベススタ,福岡,,ＶＳ,,鹿島
15節,,16:00,三協Ｆ柏,柏,,ＶＳ,,清水
15節,,16:00,味スタ,東京Ｖ,,ＶＳ,,横浜FC
15節,,19:00,Ｇスタ,町田,,ＶＳ,,京都
15節,,19:00,レモンＳ,湘南,,ＶＳ,,広島
15節,,14:00,ニッパツ,横浜FC,,ＶＳ,,福岡
15節,,15:00,味スタ,FC東京,,ＶＳ,,神戸
15節,,16:00,三協Ｆ柏,柏,,ＶＳ,,岡山
15節,,13:05,国立,鹿島,,ＶＳ,,川崎Ｆ
15節,,13:05,アイスタ,清水,,ＶＳ,,町田
15節,,14:00,サンガＳ,京都,,ＶＳ,,名古屋
16節,,14:05,デンカＳ,新潟,,ＶＳ,,浦和
16節,,15:00,味スタ,東京Ｖ,,ＶＳ,,湘南
16節,,15:00,パナスタ,Ｇ大阪,,ＶＳ,,広島
16節,,15:00,ヨドコウ,Ｃ大阪,,ＶＳ,,横浜FM
16節,,19:00,Ｕ等々力,川崎Ｆ,,ＶＳ,,横浜FC
16節,,19:00,日産ス,横浜FM,,ＶＳ,,柏
16節,,14:00,Ｇスタ,町田,,ＶＳ,,柏
16節,,14:00,日産ス,横浜FM,,ＶＳ,,京都
16節,,14:00,ノエスタ,神戸,,ＶＳ,,Ｇ大阪
16節,,14:00,Ｅピース,広島,,ＶＳ,,東京Ｖ
17節,,14:30,ベススタ,福岡,,ＶＳ,,名古屋
17節,,15:00,カシマ,鹿島,,ＶＳ,,清水
17節,,15:00,レモンＳ,湘南,,ＶＳ,,横浜FC
17節,,16:00,埼玉,浦和,,ＶＳ,,FC東京
17節,,15:00,Ｕ等々力,川崎Ｆ,,ＶＳ,,Ｃ大阪
17節,,15:00,ＪＦＥス,岡山,,ＶＳ,,新潟
17節,,19:00,Ｕ等々力,川崎Ｆ,,ＶＳ,,浦和
17節,,19:00,日産ス,横浜FM,,ＶＳ,,神戸
17節,,15:00,ヨドコウ,Ｃ大阪,,ＶＳ,,福岡
17節,,17:30,豊田ス,名古屋,,ＶＳ,,浦和
18節,,13:00,ＪＦＥス,岡山,,ＶＳ,,町田
18節,,14:00,日産ス,横浜FM,,ＶＳ,,鹿島
18節,,14:00,ニッパツ,横浜FC,,ＶＳ,,柏
18節,,14:00,デンカＳ,新潟,,ＶＳ,,湘南
18節,,14:00,アイスタ,清水,,ＶＳ,,神戸
18節,,15:00,国立,FC東京,,ＶＳ,,広島
18節,,15:00,味スタ,東京Ｖ,,ＶＳ,,京都
18節,,16:00,Ｕ等々力,川崎Ｆ,,ＶＳ,,Ｇ大阪
18節,,19:30,埼玉,浦和,,ＶＳ,,Ｃ大阪
18節,,14:00,Ｇスタ,町田,,ＶＳ,,横浜FM
19節,,14:00,豊田ス,名古屋,,ＶＳ,,新潟
19節,,14:00,ベススタ,福岡,,ＶＳ,,東京Ｖ
19節,,16:00,三協Ｆ柏,柏,,ＶＳ,,神戸
19節,,17:30,Ｅピース,広島,,ＶＳ,,川崎Ｆ
19節,,18:00,パナスタ,Ｇ大阪,,ＶＳ,,鹿島
19節,,19:00,サンガＳ,京都,,ＶＳ,,FC東京
