label,threshold,selected,label_total,coverage,correct,precision,eligible
D,0.31,65,65,1.0,19,0.2923076923076923,1
D,0.32,65,65,1.0,19,0.2923076923076923,1
D,0.33,65,65,1.0,19,0.2923076923076923,1
D,0.34,65,65,1.0,19,0.2923076923076923,1
D,0.35,0,65,0.0,0,,0
D,0.36,0,65,0.0,0,,0
D,0.37,0,65,0.0,0,,0
D,0.38,0,65,0.0,0,,0
D,0.39,0,65,0.0,0,,0
D,0.4,0,65,0.0,0,,0
D,0.41,0,65,0.0,0,,0
D,0.42,0,65,0.0,0,,0
D,0.43,0,65,0.0,0,,0
D,0.44,0,65,0.0,0,,0
D,0.45,0,65,0.0,0,,0
D,0.46,0,65,0.0,0,,0
D,0.47,0,65,0.0,0,,0
D,0.48,0,65,0.0,0,,0
D,0.49,0,65,0.0,0,,0
D,0.5,0,65,0.0,0,,0
D,0.51,0,65,0.0,0,,0
D,0.52,0,65,0.0,0,,0
D,0.53,0,65,0.0,0,,0
D,0.54,0,65,0.0,0,,0
D,0.55,0,65,0.0,0,,0
D,0.56,0,65,0.0,0,,0
D,0.57,0,65,0.0,0,,0
D,0.58,0,65,0.0,0,,0
D,0.59,0,65,0.0,0,,0
D,0.6,0,65,0.0,0,,0
D,0.61,0,65,0.0,0,,0
D,0.62,0,65,0.0,0,,0
D,0.63,0,65,0.0,0,,0
D,0.64,0,65,0.0,0,,0
D,0.65,0,65,0.0,0,,0
D,0.66,0,65,0.0,0,,0
D,0.67,0,65,0.0,0,,0
D,0.68,0,65,0.0,0,,0
D,0.69,0,65,0.0,0,,0
D,0.7,0,65,0.0,0,,0
A,0.3,137,137,1.0,61,0.44525547445255476,1
A,0.31,137,137,1.0,61,0.44525547445255476,1
A,0.32,137,137,1.0,61,0.44525547445255476,1
A,0.33,137,137,1.0,61,0.44525547445255476,1
A,0.34,137,137,1.0,61,0.44525547445255476,1
A,0.35,128,137,0.9343065693430657,58,0.453125,1
A,0.36,114,137,0.8321167883211679,47,0.41228070175438597,1
A,0.37,102,137,0.7445255474452555,45,0.4411764705882353,1
A,0.38,92,137,0.6715328467153284,43,0.4673913043478261,1
A,0.39,79,137,0.5766423357664233,38,0.4810126582278481,1
A,0.4,70,137,0.5109489051094891,33,0.4714285714285714,1
A,0.41,63,137,0.45985401459854014,32,0.5079365079365079,1
A,0.42,55,137,0.40145985401459855,29,0.5272727272727272,1
A,0.43,50,137,0.36496350364963503,25,0.5,1
A,0.44,40,137,0.291970802919708,20,0.5,1
A,0.45,31,137,0.22627737226277372,16,0.5161290322580645,1
A,0.46,29,137,0.2116788321167883,16,0.5517241379310345,1
A,0.47,26,137,0.1897810218978102,14,0.5384615384615384,0
A,0.48,24,137,0.17518248175182483,13,0.5416666666666666,0
A,0.49,17,137,0.12408759124087591,10,0.5882352941176471,0
A,0.5,14,137,0.10218978102189781,9,0.6428571428571429,0
A,0.51,10,137,0.072992700729927,6,0.6,0
A,0.52,8,137,0.058394160583941604,5,0.625,0
A,0.53,7,137,0.051094890510948905,4,0.5714285714285714,0
A,0.54,6,137,0.043795620437956206,3,0.5,0
A,0.55,5,137,0.0364963503649635,2,0.4,0
A,0.56,4,137,0.029197080291970802,2,0.5,0
A,0.57,3,137,0.021897810218978103,2,0.6666666666666666,0
A,0.58,2,137,0.014598540145985401,2,1.0,0
A,0.59,2,137,0.014598540145985401,2,1.0,0
A,0.6,2,137,0.014598540145985401,2,1.0,0
A,0.61,1,137,0.0072992700729927005,1,1.0,0
A,0.62,1,137,0.0072992700729927005,1,1.0,0
A,0.63,1,137,0.0072992700729927005,1,1.0,0
A,0.64,0,137,0.0,0,,0
A,0.65,0,137,0.0,0,,0
A,0.66,0,137,0.0,0,,0
A,0.67,0,137,0.0,0,,0
A,0.68,0,137,0.0,0,,0
A,0.69,0,137,0.0,0,,0
A,0.7,0,137,0.0,0,,0
