label,threshold,selected,label_total,coverage,correct,precision,eligible
H,0.63,36,189,0.19047619047619047,29,0.8055555555555556,0
H,0.64,33,189,0.1746031746031746,27,0.8181818181818182,0
H,0.65,29,189,0.15343915343915343,23,0.7931034482758621,0
H,0.66,26,189,0.13756613756613756,21,0.8076923076923077,0
H,0.67,23,189,0.12169312169312169,18,0.782608695652174,0
H,0.68,20,189,0.10582010582010581,16,0.8,0
H,0.69,19,189,0.10052910052910052,15,0.7894736842105263,0
H,0.7,18,189,0.09523809523809523,14,0.7777777777777778,0
D,0.3,65,65,1.0,22,0.3384615384615385,1
D,0.31,65,65,1.0,22,0.3384615384615385,1
D,0.32,65,65,1.0,22,0.3384615384615385,1
D,0.33,65,65,1.0,22,0.3384615384615385,1
D,0.34,63,65,0.9692307692307692,21,0.3333333333333333,1
D,0.35,61,65,0.9384615384615385,20,0.32786885245901637,1
D,0.36,60,65,0.9230769230769231,19,0.31666666666666665,1
D,0.37,52,65,0.8,18,0.34615384615384615,1
D,0.38,46,65,0.7076923076923077,17,0.3695652173913043,1
D,0.39,39,65,0.6,16,0.41025641025641024,1
D,0.4,30,65,0.46153846153846156,14,0.4666666666666667,1
D,0.41,25,65,0.38461538461538464,13,0.52,1
D,0.42,15,65,0.23076923076923078,8,0.5333333333333333,1
D,0.43,11,65,0.16923076923076924,7,0.6363636363636364,0
D,0.44,7,65,0.1076923076923077,5,0.7142857142857143,0
D,0.45,3,65,0.046153846153846156,2,0.6666666666666666,0
D,0.46,2,65,0.03076923076923077,1,0.5,0
D,0.47,0,65,0.0,0,,0
D,0.48,0,65,0.0,0,,0
D,0.49,0,65,0.0,0,,0
D,0.5,0,65,0.0,0,,0
D,0.51,0,65,0.0,0,,0
D,0.52,0,65,0.0,0,,0
D,0.53,0,65,0.0,0,,0
D,0.54,0,65,0.0,0,,0
D,0.55,0,65,0.0,0,,0
D,0.56,0,65,0.0,0,,0
D,0.57,0,65,0.0,0,,0
D,0.58,0,65,0.0,0,,0
D,0.59,0,65,0.0,0,,0
D,0.6,0,65,0.0,0,,0
D,0.61,0,65,0.0,0,,0
D,0.62,0,65,0.0,0,,0
D,0.63,0,65,0.0,0,,0
D,0.64,0,65,0.0,0,,0
D,0.65,0,65,0.0,0,,0
D,0.66,0,65,0.0,0,,0
D,0.67,0,65,0.0,0,,0
D,0.68,0,65,0.0,0,,0
D,0.69,0,65,0.0,0,,0
D,0.7,0,65,0.0,0,,0
A,0.3,126,126,1.0,60,0.47619047619047616,1
A,0.31,126,126,1.0,60,0.47619047619047616,1
A,0.32,126,126,1.0,60,0.47619047619047616,1
A,0.33,126,126,1.0,60,0.47619047619047616,1
A,0.34,126,126,1.0,60,0.47619047619047616,1
A,0.35,123,126,0.9761904761904762,58,0.4715447154471545,1
A,0.36,122,126,0.9682539682539683,58,0.47540983606557374,1
A,0.37,119,126,0.9444444444444444,57,0.4789915966386555,1
A,0.38,117,126,0.9285714285714286,57,0.48717948717948717,1
A,0.39,114,126,0.9047619047619048,56,0.49122807017543857,1
A,0.4,113,126,0.8968253968253969,55,0.48672566371681414,1
A,0.41,105,126,0.8333333333333334,51,0.4857142857142857,1
A,0.42,102,126,0.8095238095238095,50,0.49019607843137253,1
A,0.43,96,126,0.7619047619047619,48,0.5,1
A,0.44,92,126,0.7301587301587301,47,0.5108695652173914,1
A,0.45,91,126,0.7222222222222222,47,0.5164835164835165,1
A,0.46,86,126,0.6825396825396826,45,0.5232558139534884,1
A,0.47,82,126,0.6507936507936508,44,0.5365853658536586,1
A,0.48,78,126,0.6190476190476191,44,0.5641025641025641,1
A,0.49,75,126,0.5952380952380952,43,0.5733333333333334,1
A,0.5,75,126,0.5952380952380952,43,0.5733333333333334,1
A,0.51,70,126,0.5555555555555556,41,0.5857142857142857,1
A,0.52,67,126,0.5317460317460317,41,0.6119402985074627,1
A,0.53,63,126,0.5,38,0.6031746031746031,1
A,0.54,60,126,0.47619047619047616,36,0.6,1
A,0.55,55,126,0.4365079365079365,35,0.6363636363636364,1
A,0.56,53,126,0.42063492063492064,35,0.660377358490566,1
A,0.57,50,126,0.3968253968253968,33,0.66,1
A,0.58,47,126,0.373015873015873,32,0.6808510638297872,1
A,0.59,46,126,0.36507936507936506,32,0.6956521739130435,1
A,0.6,45,126,0.35714285714285715,31,0.6888888888888889,1
A,0.61,41,126,0.3253968253968254,28,0.6829268292682927,1
A,0.62,37,126,0.29365079365079366,25,0.6756756756756757,1
A,0.63,36,126,0.2857142857142857,24,0.6666666666666666,1
A,0.64,34,126,0.2698412698412698,23,0.6764705882352942,1
A,0.65,30,126,0.23809523809523808,20,0.6666666666666666,1
A,0.66,29,126,0.23015873015873015,19,0.6551724137931034,1
A,0.67,28,126,0.2222222222222222,18,0.6428571428571429,1
A,0.68,27,126,0.21428571428571427,18,0.6666666666666666,1
A,0.69,23,126,0.18253968253968253,14,0.6086956521739131,0
A,0.7,22,126,0.1746031746031746,14,0.6363636363636364,0
