alpha,accuracy,log_loss_3class,brier_score_3class,actual_rate_H,actual_rate_D,actual_rate_A,mean_pred_H,mean_pred_D,mean_pred_A,h_mean_gap,d_mean_gap,a_mean_gap,ha_gap_abs_max
0.2,0.4868421052631579,1.0639004001147525,0.6370875772705498,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4208992152647117,0.18699864737050415,0.3921021373647842,-0.021206047893183033,-0.06826451052423271,0.0894705584174158,0.0894705584174158
0.21,0.4868421052631579,1.0607521206259498,0.635767266599521,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.417018008571223,0.19451141231384506,0.3884705791149319,-0.025087254586671714,-0.0607517455808918,0.08583900016756346,0.08583900016756346
0.22,0.4868421052631579,1.0580966647692778,0.6346389990700194,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.41320845680607027,0.20188522777436116,0.3849063154195685,-0.028896806351824456,-0.0533779301203757,0.08227473647220007,0.08227473647220007
0.23,0.4868421052631579,1.055884110177213,0.6336928627107795,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4094685748310773,0.20912394898274297,0.38140747618617976,-0.03263668832681743,-0.046139208911993884,0.07877589723881134,0.07877589723881134
0.24,0.4868421052631579,1.054071072794742,0.6329194790974407,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4057964508165059,0.21623128862597102,0.37797226055752314,-0.03630881234138883,-0.03903186926876584,0.07534068161015472,0.07534068161015472
0.25,0.4868421052631579,1.0526196329015465,0.6323099711181038,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.4021902428602932,0.22321082342759616,0.37459893371211067,-0.03991502029760152,-0.0320523344671407,0.07196735476474225,0.07196735476474225
0.26,0.4868421052631579,1.051496472149741,0.6318559329360754,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.3986481757940824,0.2300660003641528,0.3712858238417649,-0.04345708736381232,-0.025197157530584047,0.06865424489439648,0.06865424489439648
0.27,0.4868421052631579,1.0506721737816693,0.6315494019820571,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.3951685381640326,0.23680014254112253,0.3680313192948449,-0.046936724993862144,-0.01846301535361433,0.06539974034747648,0.06539974034747648
0.28,0.4868421052631579,1.0501206503818197,0.6313828328222394,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.39174967937527455,0.24341645475015028,0.3648338658745753,-0.05035558378262017,-0.011846703144586579,0.06220228692720686,0.06220228692720686
0.29,0.4868421052631579,1.0498186722810434,0.6313490727616508,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.38839000698968695,0.24991802872763574,0.36169196428267725,-0.05371525616820777,-0.005345129167101115,0.05906038533530883,0.05906038533530883
0.3,0.4868421052631579,1.0497454761162497,0.6314413390538055,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.3850879841674109,0.25630784813337926,0.3586041676992099,-0.05701727899048381,0.0010446902386423984,0.05597258875184147,0.05701727899048381
0.31,0.4868421052631579,1.049882437757361,0.6316531975983258,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.3818421272432011,0.2625887932666252,0.3555690794901738,-0.06026313591469362,0.0073256353718883505,0.05293750054280538,0.06026313591469362
0.32,0.4868421052631579,1.0502127973250093,0.6319785430178724,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.3786510034293439,0.2687636455356258,0.3525853510350303,-0.06345425972855084,0.013500487640888958,0.049953772087661885,0.06345425972855084
0.33,0.4868421052631579,1.0507214266689837,0.6324115800145225,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.3755132286374465,0.2748350916957179,0.3496516796668356,-0.0665920345204482,0.019571933800981045,0.04702010071946716,0.0665920345204482
0.34,0.4868421052631579,1.0513946316914602,0.6329468059137435,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.37242746541193755,0.2808057278698653,0.34676680671819715,-0.06967779774595717,0.025542569975128437,0.04413522777082873,0.06967779774595717
0.35,0.4868421052631579,1.0522199834456571,0.6335789943114227,0.4421052631578947,0.25526315789473686,0.3026315789473684,0.36939242096861025,0.28667806336466406,0.34392951566672575,-0.07271284218928448,0.0314149054699272,0.04129793671935733,0.07271284218928448
