d_th,ha_gap_th,accuracy,pred_H,pred_D,pred_A,d_rate_gap_from_actual
0.34,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.34,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.35,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.06,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.07,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.08,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.09,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.1,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.11,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.12,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.13,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.14,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.36,0.15,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
0.37,0.05,0.4868421052631579,0.5710526315789474,0.0,0.42894736842105263,-0.255263
