round,ticket,hits,total,hit_rate,draw_count,sway_count,role_family,role_mode,role_unique_only,role_same_family,role_diff_family,base_miss_recovery,base_hit_loss,base_net_gain,family_hit_unique,family_hit_shared,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count,cluster_changes,basis_changes
round09,ticket08,4,13,0.3076923076923077,6,0,draw,none,0,0,0,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round09,ticket09,4,13,0.3076923076923077,6,0,draw,none,0,0,0,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round09,ticket10,4,13,0.3076923076923077,4,2,swing,none,2,0,0,0,0,0,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket02,4,13,0.3076923076923077,4,3,draw,none,0,3,0,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket03,5,13,0.3846153846153846,5,2,swing,none,1,0,1,1,1,0,2,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket05,3,13,0.2307692307692307,7,4,draw,none,2,2,0,0,2,-2,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket06,4,13,0.3076923076923077,6,1,draw,skip,0,0,1,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket07,3,13,0.2307692307692307,4,3,swing,none,1,0,2,0,2,-2,0,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket08,6,13,0.4615384615384615,6,3,draw,none,1,1,1,1,0,1,1,5,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket09,4,13,0.3076923076923077,5,2,draw,none,0,2,0,0,1,-1,0,4,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round10,ticket10,4,13,0.3076923076923077,5,2,swing,none,1,0,1,0,1,-1,1,3,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket02,2,13,0.1538461538461538,5,3,draw,none,0,1,2,1,0,1,1,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket03,2,13,0.1538461538461538,5,1,swing,none,1,0,0,1,0,1,1,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket05,1,13,0.0769230769230769,5,3,draw,none,1,1,1,0,0,0,0,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket06,2,13,0.1538461538461538,6,1,draw,skip,0,0,1,1,0,1,1,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket07,3,13,0.2307692307692307,4,2,swing,none,2,0,0,2,0,2,2,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket08,1,13,0.0769230769230769,5,1,draw,none,0,1,0,0,0,0,0,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket09,1,13,0.0769230769230769,6,0,draw,none,0,0,0,0,0,0,0,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round11,ticket10,2,13,0.1538461538461538,5,1,swing,none,1,0,0,1,0,1,1,1,balanced,13,13,13,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round12,ticket02,4,9,0.4444444444444444,5,4,draw,none,2,2,0,2,0,2,2,2,swing_heavy,2,3,2,draw=0 overlap=1 swing=2 neutral=1 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=4
round12,ticket03,5,9,0.5555555555555556,3,3,swing,none,0,2,1,3,0,3,1,4,swing_heavy,2,3,2,draw=0 overlap=1 swing=2 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=3
round12,ticket05,2,9,0.2222222222222222,3,2,draw,none,1,1,0,0,0,0,0,2,swing_heavy,2,3,2,draw=0 overlap=0 swing=0 neutral=1 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1
round12,ticket06,1,9,0.1111111111111111,3,2,draw,active,1,1,0,0,1,-1,0,1,swing_heavy,2,3,2,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0
round12,ticket07,4,9,0.4444444444444444,3,4,swing,none,1,3,0,2,0,2,0,4,swing_heavy,2,3,2,draw=0 overlap=1 swing=2 neutral=1 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=4
