league,season_year,match_id,節,試合日,datetime,home_team,away_team,actual_result,pred_final_label,pred_postfusion_main_argmax,pred_argmax,is_hit_final_label,is_hit_postfusion_main_argmax,is_hit_argmax,max_prob,prob_home_win,prob_draw,prob_away_win,elo_diff_for_prob,applied_hfa_for_prob
j1,2025,j1_2025_04021903_横浜FC_神戸,第８節第１日,2025-04-02,2025-04-02 19:03:00,横浜FC,神戸,A,D,D,D,0,0,0,0.3561329775396322,0.2889913768675412,0.3561329775396322,0.3548756455928267,-7.399,0.0
j1,2025,j1_2025_04021903_Ｃ大阪_岡山,第８節第１日,2025-04-02,2025-04-02 19:03:00,Ｃ大阪,岡山,H,A,A,A,0,0,0,0.3455746511052804,0.3223718688525089,0.3320534800422107,0.3455746511052804,-21.7511,0.0
j1,2025,j1_2025_04021903_Ｇ大阪_町田,第８節第１日,2025-04-02,2025-04-02 19:03:00,Ｇ大阪,町田,A,A,A,A,1,1,1,0.3508682705209167,0.3038924832177105,0.3452392462613728,0.3508682705209167,-13.9095,0.0
j1,2025,j1_2025_04021904_名古屋_横浜FM,第８節第１日,2025-04-02,2025-04-02 19:04:00,名古屋,横浜FM,H,A,A,A,0,0,0,0.35054084163714655,0.3050719283630245,0.3443872299998289,0.35054084163714655,-14.4173,0.0
j1,2025,j1_2025_04021933_浦和_清水,第８節第１日,2025-04-02,2025-04-02 19:33:00,浦和,清水,H,A,A,A,0,0,0,0.3521533600295508,0.2992109582955101,0.34863568167493914,0.3521533600295508,-11.8834,0.0
j1,2025,j1_2025_04051403_横浜FM_東京Ｖ,第９節第１日,2025-04-05,2025-04-05 14:03:00,横浜FM,東京Ｖ,D,D,D,D,1,1,1,0.35717149829630374,0.28758822463928757,0.35717149829630374,0.3552402770644086,-6.7764,0.0
j1,2025,j1_2025_04061301_岡山_FC東京,第９節第２日,2025-04-06,2025-04-06 13:01:00,岡山,FC東京,H,H,H,H,1,1,1,0.36959369367742073,0.36959369367742073,0.3306172518785143,0.29978905444406506,13.0499,0.0
j1,2025,j1_2025_04061403_横浜FC_清水,第９節第２日,2025-04-06,2025-04-06 14:03:00,横浜FC,清水,H,A,A,A,0,0,0,0.34662381246142443,0.3188023723627162,0.33457381517585927,0.34662381246142443,-20.2547,0.0
j1,2025,j1_2025_04061403_町田_川崎Ｆ,第９節第２日,2025-04-06,2025-04-06 14:03:00,町田,川崎Ｆ,D,D,D,D,1,1,1,0.3687262977642908,0.3437501671664345,0.3687262977642908,0.2875235350692747,0.3215,0.0
j1,2025,j1_2025_04061403_神戸_新潟,第９節第２日,2025-04-06,2025-04-06 14:03:00,神戸,新潟,A,H,H,H,0,0,0,0.3973969423631066,0.3973969423631066,0.2909943251171194,0.311608732519774,27.0825,0.0
j1,2025,j1_2025_04061404_福岡_浦和,第９節第２日,2025-04-06,2025-04-06 14:04:00,福岡,浦和,H,H,H,H,1,1,1,0.3564707698109564,0.3564707698109564,0.34981955770542944,0.29370967248361424,6.5583,0.0
j1,2025,j1_2025_04061503_広島_Ｃ大阪,第９節第２日,2025-04-06,2025-04-06 15:03:00,広島,Ｃ大阪,H,H,H,H,1,1,1,0.3991639882826072,0.3991639882826072,0.28852670722329654,0.31230930449409616,27.9904,0.0
j1,2025,j1_2025_04061503_柏_Ｇ大阪,第９節第２日,2025-04-06,2025-04-06 15:03:00,柏,Ｇ大阪,H,H,H,H,1,1,1,0.3847722079848579,0.3847722079848579,0.3088029369593448,0.3064248550557972,20.6557,0.0
j1,2025,j1_2025_04061503_湘南_名古屋,第９節第２日,2025-04-06,2025-04-06 15:03:00,湘南,名古屋,H,H,H,H,1,1,1,0.36267299747687937,0.36267299747687937,0.3407052287072462,0.29662177381587457,9.618,0.0
