match_id,league,節,home_team,away_team,actual_result,predicted_result,decision_reason,close_split_profile,draw_core_score,swing_close_score,prob_home_win,prob_draw,prob_away_win,prob_elo_home,prob_elo_draw,prob_elo_away,prob_lab_home,prob_lab_draw,prob_lab_away,match_type,lab_basis_hint,lab_draw_support_score,lab_mix_draw,match_type_xg_diff,match_type_rank_gap,match_type_home_signal_count,match_type_away_signal_count,outcome_bucket,rank_sign,xg_sign,signal_balance,prob_side_bias,recommended_action
j2_2026_03221403_今治_徳島,j2,第７節第２日,今治,徳島,H,D,J2_AWAY_DRAW_RESTORE,mixed_close,0.6452378184059333,0.6019454573455928,0.2489267192548763,0.3727719948805661,0.3783012858645575,0.2599889794497027,0.335311931704884,0.4046990888454133,0.2333420199665495,0.5196461718982234,0.2470118081352271,away_strong,basis_balanced,0.6083950725100633,0.5196461718982234,-1.0,4,0,3,draw_miss_to_h,away_better,away_better,0-3,away,hold
j2_2026_03291403_山形_栃木Ｃ,j2,第８節第２日,山形,栃木Ｃ,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6763512879853952,0.5675233053034601,0.3385683643330469,0.3886905287754679,0.2727411068914852,0.3747037822018664,0.338734067311259,0.2865621504868746,0.2450848171140534,0.5078128852896684,0.2471022975962781,neutral,basis_balanced,0.5446405779708364,0.5078128852896684,-1.0,2,0,1,draw_miss_to_a,away_better,away_better,0-1,home,hold
j2_2026_04041403_横浜FC_秋田,j2,第９節第１日,横浜FC,秋田,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.7719312275512809,0.5795407756342724,0.279302473969999,0.3921886143886467,0.3285089116413543,0.2951131828140063,0.339466047442241,0.3654207697437527,0.2474202283900307,0.5193456325749002,0.2332341390350691,signal_conflict,draw_compressed,0.5824470023849038,0.5193456325749002,11.0,3,1,1,draw_miss_to_a,away_better,home_better,1-1,away,hold
j2_2026_04111404_甲府_札幌,j2,第１０節第１日,甲府,札幌,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.649206615235632,0.5953118285908764,0.2474663511716663,0.3862052444494918,0.366328404378842,0.2603859531039711,0.3353764439822639,0.404237602913765,0.2245836609674152,0.5590166404751711,0.2163996985574137,away_strong,draw_compressed,0.5860211605514255,0.5590166404751711,-11.2,-1,0,2,draw_miss_to_h,home_better,away_better,0-2,away,hold
j2_2026_04181403_大宮_磐田,j2,第１１節第１日,大宮,磐田,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6816948421885062,0.5866096703747888,0.3236924287797234,0.3827846589932015,0.2935229122270751,0.342771154876695,0.3405684604095428,0.316660384713762,0.2814080205229355,0.4796363654631549,0.2389556140139095,neutral,basis_balanced,0.5428169402502495,0.4796363654631549,8.600000000000001,-2,1,0,draw_miss_to_a,home_better,home_better,1-0,home,hold
j2_2026_04191403_秋田_横浜FC,j2,第１１節第２日,秋田,横浜FC,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6769384243639541,0.5601827651403462,0.3734582029646658,0.3752529432675592,0.2512888537677748,0.4046973815113787,0.335312171045449,0.2599904474431723,0.2379565396362042,0.5203339693955085,0.2417094909682873,home_strong,draw_compressed,0.577041704140059,0.5203339693955085,-11.0,-3,2,1,draw_miss_to_a,home_better,away_better,2-1,home,hold
j2_2026_04251403_今治_富山,j2,第１２節第１日,今治,富山,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.59502638237972,0.692686664432978,0.3546516788793136,0.3609918170035769,0.2843565041171094,0.3759906206270677,0.3386201117847343,0.285389267588198,0.2398574016536009,0.4616761450756823,0.2984664532707167,away_strong,basis_balanced,0.5455863736132526,0.4616761450756823,-9.7,6,0,2,draw_miss_to_a,away_better,away_better,0-2,home,hold
j2_2026_04261303_八戸_秋田,j2,第１２節第２日,八戸,秋田,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6681051655515016,0.5913476098205334,0.2659176717237368,0.3828021756355907,0.3512801526406724,0.2857168008248351,0.3386522674377974,0.3756309317373673,0.2229793437965294,0.5350310982238956,0.2419895579795748,away_strong,draw_compressed,0.5864383770526741,0.5350310982238956,-2.5,7,0,2,draw_miss_to_h,away_better,away_better,0-2,away,hold
j2_2026_05021403_磐田_いわき,j2,第１４節第１日,磐田,いわき,D,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6835785456047184,0.6066847166229926,0.2995510638230663,0.3781435768771917,0.3223053592997419,0.3274258223799874,0.3407396507931327,0.3318345268268798,0.2294096298964542,0.5096122406357667,0.2609781294677791,away_strong,draw_compressed,0.5614712793484135,0.5096122406357667,-5.5,5,0,2,draw_hit,away_better,away_better,0-2,away,keep_draw_candidate
j2_2026_05061403_大宮_いわき,j2,第１５節第１日,大宮,いわき,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.7818811567981181,0.5883446919353994,0.2720875015792188,0.3967232798237373,0.3311892185970439,0.2898905250808951,0.3390395233990284,0.3710699515200765,0.2331056906782991,0.5404610163104463,0.2264332930112546,signal_conflict,draw_compressed,0.5837974382259213,0.5404610163104463,3.1000000000000014,3,1,1,draw_miss_to_h,away_better,home_better,1-1,away,hold
j2_2026_05061403_新潟_徳島,j2,第１５節第１日,新潟,徳島,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6857944213896464,0.5668635906752416,0.2579626359792014,0.3921067164992359,0.3499306475215627,0.2683705610480308,0.3365855871796145,0.3950438517723547,0.2427941345451624,0.5255432878086002,0.2316625776462373,neutral,draw_compressed,0.5756027737928086,0.5255432878086002,,-1,0,1,draw_miss_to_h,home_better,flat,0-1,away,hold
j2_2026_05061403_栃木Ｃ_横浜FC,j2,第１５節第１日,栃木Ｃ,横浜FC,D,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6775429272027755,0.5612742495285067,0.2983851900803693,0.3825868518462849,0.3190279580733458,0.3249453638155392,0.3407218997949401,0.3343327363895207,0.2325792732988313,0.479605639807591,0.2878150868935775,neutral,basis_balanced,0.5216391805192829,0.479605639807591,-15.7,1,0,1,draw_hit,away_better,away_better,0-1,away,keep_draw_candidate
j2_2026_05091403_札幌_大宮,j2,第１６節第１日,札幌,大宮,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.7957114188382057,0.6433948700883408,0.3063124637880655,0.3915698646449257,0.3021176715670088,0.3327698645657057,0.3407345003838118,0.3264956350504825,0.2399279986257777,0.5180872089776093,0.2419847923966129,signal_conflict,draw_compressed,0.5601478511770596,0.5180872089776093,-5.100000000000001,-4,1,1,draw_miss_to_h,home_better,away_better,1-1,home,hold
j2_2026_05101403_大分_鳥栖,j2,第１６節第２日,大分,鳥栖,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6585243178840268,0.6395921272747032,0.2473206553877441,0.3847130144501586,0.3679663301620972,0.259496032078814,0.3352312355006015,0.4052727324205845,0.2276753412757317,0.4983464328350138,0.2739782258892543,away_strong,draw_compressed,0.5709575679829464,0.4983464328350138,3.3000000000000007,5,1,2,draw_miss_to_a,away_better,home_better,1-2,away,hold
j2_2026_05101403_湘南_横浜FC,j2,第１６節第２日,湘南,横浜FC,A,D,NARROW_DRAW_OVERRIDE,mixed_close,0.7439341989794861,0.5790617960001053,0.3555183639956948,0.3939777550996463,0.2505038809046588,0.4057683807491962,0.3351610607666763,0.2590705584841275,0.2223076452534781,0.5374347900302203,0.2402575647163016,signal_conflict,draw_compressed,0.5824710731255497,0.5374347900302203,-13.4,-2,1,1,draw_miss_to_a,home_better,away_better,1-1,home,hold
j2_2026_05161403_栃木Ｃ_山形,j2,第１７節第１日,栃木Ｃ,山形,H,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6744853688006437,0.5687103491679406,0.2953218626736334,0.3812361308817209,0.3234420064446457,0.3091151621796433,0.3403001025179187,0.3505847353024379,0.2680191527299636,0.4769069235206682,0.2550739237493681,close_match,basis_balanced,0.5314298058437987,0.4769069235206682,1.0,-2,1,0,draw_miss_to_h,home_better,home_better,1-0,away,hold
j2_2026_05171403_富山_徳島,j2,第１７節第２日,富山,徳島,D,D,NARROW_DRAW_OVERRIDE,mixed_close,0.6614559121861525,0.5839257603004766,0.2768561820266628,0.3819491782638505,0.3411946397094866,0.2801144420964889,0.3380664128535317,0.3818191450499793,0.2824577710015171,0.4825446140419923,0.2349976149564905,neutral,basis_balanced,0.5544561705766881,0.4825446140419923,8.7,-2,1,0,draw_hit,home_better,home_better,1-0,away,keep_draw_candidate
