match_id,league,節,home_team,away_team,actual_result,predicted_result,match_type,match_type_signal_conflict,match_type_home_signal_count,match_type_away_signal_count,elo_diff_for_prob,match_type_xg_diff,match_type_rank_gap,match_type_sig_away_elo,match_type_sig_away_xg,match_type_sig_away_rank,match_type_sig_home_elo,match_type_sig_home_xg,match_type_sig_home_rank,prob_home_win,prob_draw,prob_away_win,decision_reason
j2_2025_03091403_徳島_熊本,j2,第４節第２日,徳島,熊本,D,H,neutral,False,1,0,27.4161,-0.29999999999999716,-14,False,False,False,False,False,True,0.3760474465640873,0.33861501011143275,0.28533754332448,ARGMAX
j2_2025_03091404_甲府_藤枝,j2,第４節第２日,甲府,藤枝,D,D,neutral,False,0,1,-5.5576,-5.199999999999996,-2,False,True,False,False,False,False,0.32196213694926734,0.34068344299820785,0.3373544200525248,NARROW_DRAW_OVERRIDE
j2_2025_03151303_秋田_札幌,j2,第５節第１日,秋田,札幌,A,H,neutral,False,0,1,33.2313,-5.800000000000004,2,False,True,False,False,False,False,0.3858038837134817,0.3376527758895843,0.276543340396934,ARGMAX
j2_2025_03151403_磐田_甲府,j2,第５節第１日,磐田,甲府,H,H,home_strong,False,2,0,10.9146,9.299999999999997,-8,False,False,False,False,True,True,0.3486772978037817,0.3403766624140888,0.31094603978212954,ARGMAX
j2_2025_03151403_鳥栖_大宮,j2,第５節第１日,鳥栖,大宮,H,A,away_strong,False,0,2,-52.6492,-14.899999999999999,2,True,True,False,False,False,False,0.2503912560149755,0.3336220373802286,0.4159867066047958,ARGMAX
j2_2025_03151404_藤枝_いわき,j2,第５節第１日,藤枝,いわき,H,A,away_strong,False,0,2,11.6291,-13.100000000000001,6,False,True,True,False,False,False,0.3498512101947324,0.34033038331469245,0.3098184064905752,J2_AWAY_STRONG_AWAY_RESTORE
j2_2025_03151603_長崎_徳島,j2,第５節第１日,長崎,徳島,H,D,neutral,False,1,0,4.4383,16.299999999999997,-2,False,False,False,False,True,False,0.3380918264603497,0.34067125279243965,0.3212369207472107,NARROW_DRAW_OVERRIDE
j2_2025_03161303_熊本_山形,j2,第５節第２日,熊本,山形,A,A,away_strong,False,0,2,11.1874,-1.9000000000000057,8,False,True,True,False,False,False,0.34912537345788214,0.34035931522156476,0.31051531132055316,J2_AWAY_STRONG_AWAY_RESTORE
j2_2025_03161403_今治_富山,j2,第５節第２日,今治,富山,D,D,home_strong,False,2,0,-5.5042,15.800000000000004,-6,False,False,False,False,True,True,0.3220475413221238,0.34068480519511446,0.3372676534827617,NARROW_DRAW_OVERRIDE
j2_2025_03161403_千葉_愛媛,j2,第５節第２日,千葉,愛媛,H,H,home_strong,False,3,0,58.308,24.099999999999994,-17,False,False,False,True,True,True,0.4282831168709035,0.3315402579436437,0.2401766251854528,ARGMAX
j2_2025_03161403_山口_大分,j2,第５節第２日,山口,大分,D,D,signal_conflict,True,1,1,-3.2235,14.299999999999997,3,False,False,True,False,True,False,0.32570419110521354,0.34072869601271283,0.33356711288207364,NARROW_DRAW_OVERRIDE
j2_2025_03161403_水戸_仙台,j2,第５節第２日,水戸,仙台,D,D,signal_conflict,True,1,1,-5.779,-4.199999999999996,-6,False,True,False,False,False,True,0.3216078966728506,0.3406776278899497,0.3377144754371997,NARROW_DRAW_OVERRIDE
j2_2025_03231303_仙台_磐田,j2,第６節第１日,仙台,磐田,A,D,neutral,False,1,0,4.6132,2.0,2,False,False,False,False,True,False,0.33837638649536467,0.3406662555568486,0.3209573579477866,NARROW_DRAW_OVERRIDE
j2_2025_03231318_山口_熊本,j2,第６節第１日,山口,熊本,A,H,neutral,False,1,0,12.0503,4.600000000000001,1,False,False,False,False,True,False,0.35054360763171866,0.34030182801132,0.3091545643569613,ARGMAX
j2_2025_03231400_愛媛_札幌,j2,第６節第１日,愛媛,札幌,A,D,away_strong,False,0,2,-4.4001,-13.399999999999999,8,False,True,True,False,False,False,0.3238159030009053,0.34070954592372554,0.33547455107536917,NARROW_DRAW_OVERRIDE
j2_2025_03231403_いわき_今治,j2,第６節第１日,いわき,今治,A,A,neutral,False,0,0,-20.2372,0.29999999999999716,-2,False,False,False,False,False,False,0.29880395810710775,0.33972917531617847,0.36146686657671384,ARGMAX
j2_2025_03231403_大分_藤枝,j2,第６節第１日,大分,藤枝,D,D,neutral,False,0,1,-5.9577,-10.199999999999996,1,False,True,False,False,False,False,0.321322172511386,0.3406727436607284,0.33800508382788563,NARROW_DRAW_OVERRIDE
j2_2025_03231403_山形_徳島,j2,第６節第１日,山形,徳島,D,D,signal_conflict,True,1,1,-9.7709,2.200000000000003,6,False,False,True,False,True,False,0.3152469845337755,0.3405276231019911,0.34422539236423344,NARROW_DRAW_OVERRIDE
j2_2025_03231403_甲府_千葉,j2,第６節第１日,甲府,千葉,A,A,away_strong,False,0,3,-50.6451,-19.199999999999996,10,True,True,True,False,False,False,0.25326234679504284,0.3341540450997998,0.4125836081051574,ARGMAX
j2_2025_03231403_長崎_秋田,j2,第６節第１日,長崎,秋田,H,H,home_strong,False,2,0,39.4108,18.0,-12,False,False,False,False,True,True,0.3962200994104186,0.3364390218140577,0.26734087877552365,ARGMAX
j2_2025_03231403_鳥栖_富山,j2,第６節第１日,鳥栖,富山,H,A,home_strong,False,2,0,-26.8625,5.800000000000004,-9,False,False,False,False,True,True,0.28858422734297406,0.338922787342961,0.3724929853140649,ARGMAX
j2_2025_03231404_大宮_水戸,j2,第６節第１日,大宮,水戸,H,A,signal_conflict,True,1,1,26.0326,15.799999999999997,5,False,False,True,False,True,False,0.3737338404181744,0.338817964715529,0.2874481948662966,J2_SIGNAL_CONFLICT_AWAY_RESTORE
j2_2025_03291403_札幌_甲府,j2,第７節第１日,札幌,甲府,A,H,neutral,False,1,0,12.1368,8.5,-1,False,False,False,False,True,False,0.3506859362388797,0.3402958426801064,0.309018221081014,ARGMAX
j2_2025_03301303_熊本_鳥栖,j2,第７節第２日,熊本,鳥栖,H,D,away_strong,False,0,2,1.0347,-3.3000000000000043,10,False,True,True,False,False,False,0.3325698280253158,0.3407357526379839,0.32669441933670035,NARROW_DRAW_OVERRIDE
j2_2025_03301403_今治_山形,j2,第７節第２日,今治,山形,D,H,neutral,False,1,0,25.0478,11.399999999999999,1,False,False,False,False,True,False,0.37208873120937763,0.3389563278128873,0.28895494097773505,ARGMAX
j2_2025_03301403_富山_仙台,j2,第７節第２日,富山,仙台,A,A,away_strong,False,0,2,10.57,-9.100000000000001,10,False,True,True,False,False,False,0.34811166137572735,0.34039800067266657,0.3114903379516061,J2_AWAY_STRONG_AWAY_RESTORE
j2_2025_03301403_水戸_いわき,j2,第７節第２日,水戸,いわき,H,A,signal_conflict,True,1,1,19.0717,-11.199999999999996,-8,False,True,False,False,False,True,0.3621422540735086,0.3396863094712783,0.29817143645521316,J2_SIGNAL_CONFLICT_AWAY_RESTORE
j2_2025_03301403_秋田_山口,j2,第７節第２日,秋田,山口,H,D,signal_conflict,True,1,1,0.7283,-6.600000000000001,-5,False,True,False,False,False,True,0.33207415883831654,0.3407385022281853,0.3271873389334981,NARROW_DRAW_OVERRIDE
j2_2025_03301403_藤枝_長崎,j2,第７節第２日,藤枝,長崎,H,A,away_strong,False,0,2,-20.1164,-15.5,13,False,True,True,False,False,False,0.2989916128722851,0.33974171613701126,0.3612666709907036,ARGMAX
