test_round,train_round_min,train_round_max,test_N,selected_draw_boost,selected_temperature,selected_home_shift,test_logloss_selected,test_brier_selected,test_accuracy_selected,test_logloss_baseline,test_brier_baseline,test_accuracy_baseline,delta_logloss,delta_brier,delta_accuracy
21,1,20,20,1.0,1.1,0.02,1.0508595999633985,0.6356861135142352,0.5,1.058745359416761,0.6402232158212985,0.55,-0.007885759453362562,-0.004537102307063279,-0.050000000000000044
22,1,21,20,1.0,1.05,0.02,1.1513557446280696,0.7008808965452435,0.35,1.136762938619394,0.6925104437049635,0.35,0.014592806008675518,0.00837045284028004,0.0
23,1,22,20,1.0,1.1,0.02,1.0238123308601303,0.6139058711265184,0.4,1.0344839178736316,0.6223109991821616,0.45,-0.010671587013501238,-0.008405128055643196,-0.04999999999999999
24,1,23,20,1.0,1.1,0.02,1.1111860921464625,0.6774234209355757,0.35,1.1260926928196278,0.6852617823686402,0.35,-0.014906600673165293,-0.007838361433064489,0.0
25,1,24,20,1.0,1.1,0.02,0.9660340215898838,0.5717498341289488,0.6,0.9477095108620084,0.5586605151166966,0.6,0.018324510727875443,0.013089319012252187,0.0
26,1,25,20,1.0,1.05,0.02,1.1425440249965368,0.685892476328357,0.35,1.1451837340117883,0.690870539860873,0.35,-0.002639709015251457,-0.004978063532515953,0.0
27,1,26,20,1.0,1.1,0.02,0.9289283946948507,0.5504241303859803,0.7,0.9237037689634404,0.5481764396768177,0.65,0.0052246257314102484,0.002247690709162531,0.04999999999999993
28,1,27,20,1.0,1.0,0.02,1.1201725924412684,0.6804836891386508,0.4,1.1350868722166205,0.6919677869441949,0.4,-0.01491427977535209,-0.011484097805544158,0.0
29,1,28,20,1.0,1.05,0.02,1.0785445686947477,0.6583652895774221,0.45,1.083756450428924,0.6611666682354436,0.4,-0.005211881734176416,-0.002801378658021436,0.04999999999999999
30,1,29,20,1.0,1.05,0.02,1.141841928923442,0.6855532938743246,0.4,1.1468274705263795,0.6895087885172136,0.4,-0.0049855416029374044,-0.003955494642889024,0.0
31,1,30,20,1.0,1.1,0.02,1.0271041015420164,0.6180890647271158,0.5,1.02049843116256,0.6146559206456002,0.5,0.006605670379456363,0.0034331440815156267,0.0
32,1,31,20,1.0,1.1,0.02,0.9733760378996192,0.5765956226573737,0.55,0.9433975594701266,0.5572825556944881,0.55,0.02997847842949264,0.019313066962885594,0.0
33,1,32,20,1.0,1.05,0.02,1.027497656784333,0.6180787641805513,0.45,1.038020351676338,0.6250049189178831,0.45,-0.010522694892004969,-0.006926154737331824,0.0
34,1,33,20,1.0,1.0,0.02,1.0902739655926634,0.668143515655301,0.4,1.0889489908152867,0.6674729512308888,0.3,0.0013249747773766973,0.0006705644244121567,0.10000000000000003
35,1,34,20,1.0,1.05,0.02,1.0209875193711715,0.6143911736714144,0.55,1.0403352659524345,0.6273334422847204,0.55,-0.019347746581263037,-0.012942268613306052,0.0
36,1,35,20,1.0,1.0,0.02,1.0478379467208971,0.6294784485302106,0.5,1.0573310487503196,0.6358155553382978,0.45,-0.00949310202942244,-0.0063371068080871895,0.04999999999999999
37,1,36,20,1.0,1.0,0.02,1.0672017456035674,0.6423502431799382,0.35,1.0649548213790674,0.6400898213375451,0.35,0.002246924224500013,0.0022604218423930567,0.0
38,1,37,20,1.0,1.05,0.02,1.039873654827403,0.6250466427055816,0.55,1.0574261801063733,0.6376511351423257,0.4,-0.017552525278970332,-0.012604492436744108,0.15000000000000002
