test_round,train_round_min,train_round_max,draw_boost,temperature,home_shift,train_N,train_logloss,train_brier,train_accuracy,objective
6,1,5,1.04,1.1,0.0,117,1.0991369169805763,0.6694553683620367,0.3076923076923077,1.2665007590710855
6,1,5,1.06,1.05,0.0,117,1.0991104031827055,0.6696728456300649,0.3076923076923077,1.2665286145902217
6,1,5,1.08,1.0,0.0,117,1.099259585374343,0.6700388103720817,0.3162393162393162,1.2667692879673633
6,1,5,1.04,1.05,0.0,117,1.099542700321779,0.6699454280775672,0.3076923076923077,1.2670290573411709
6,1,5,1.02,1.1,0.0,117,1.0996495130717114,0.669781129452883,0.3247863247863248,1.2670947954349323
6,1,5,1.06,1.0,0.0,117,1.0995989653652902,0.6702491260941745,0.3076923076923077,1.2671612468888338
6,1,5,1.1,0.95,0.0,117,1.099633870574945,0.6705928170959584,0.3247863247863248,1.2672820748489346
6,1,5,1.08,0.95,0.0,117,1.0998644874386827,0.6707294424494035,0.3162393162393162,1.2675468480510337
6,1,5,1.02,1.05,0.0,117,1.100061111179722,0.6702741411128634,0.3247863247863248,1.267629646457938
6,1,5,1.04,1.0,0.0,117,1.1000278071473024,0.6705184441302845,0.3076923076923077,1.2676574181798737
6,1,5,1.0,1.1,0.0,117,1.1002454390448304,0.6701605949027706,0.27350427350427353,1.267785587770523
6,1,5,1.06,0.95,0.0,117,1.10018857745833,0.6709284669153767,0.3076923076923077,1.2679206941871741
6,1,5,1.02,1.0,0.0,117,1.1005507632336413,0.670849186035452,0.3247863247863248,1.2682630597425044
6,1,5,1.0,1.05,0.0,117,1.1006701753798693,0.6706613240669662,0.27350427350427353,1.2683355063966109
6,1,5,1.04,0.95,0.0,117,1.1006109402820625,0.6711924189271249,0.3076923076923077,1.2684090450138437
6,1,5,1.1,1.1,-0.01,117,1.1012795780886326,0.6708138991542824,0.3162393162393162,1.2689830528772033
6,1,5,1.0,1.0,0.0,117,1.1011727879523836,0.6712438756575032,0.27350427350427353,1.2689837568667595
6,1,5,1.02,0.95,0.0,117,1.101136679497368,0.6715239267964795,0.3247863247863248,1.2690176611964878
6,1,5,1.08,1.1,-0.01,117,1.1015663398685756,0.6710037536645738,0.29914529914529914,1.269317278284719
6,1,5,1.1,1.05,-0.01,117,1.1018550082408527,0.6714090953903284,0.3162393162393162,1.2697072820884348
6,1,5,1.06,1.1,-0.01,117,1.101924653739738,0.6712412467851556,0.29914529914529914,1.2697349654360268
6,1,5,1.0,0.95,0.0,117,1.1017712272778337,0.6719257228518265,0.27350427350427353,1.2697526579907903
6,1,5,1.08,1.05,-0.01,117,1.102127663989499,0.6715896877588113,0.29914529914529914,1.270025085929202
6,1,5,1.04,1.1,-0.01,117,1.102358201998295,0.6715283695124322,0.28205128205128205,1.270240294376403
6,1,5,1.06,1.05,-0.01,117,1.1024781686981522,0.6718222134339092,0.29914529914529914,1.2704337220566295
6,1,5,1.1,1.0,-0.01,117,1.102533634321963,0.6721018037897567,0.3162393162393162,1.2705590852694022
6,1,5,1.02,1.1,-0.01,117,1.1028709046167995,0.6718672045425956,0.2564102564102564,1.2708377057524485
6,1,5,1.08,1.0,-0.01,117,1.102787926023121,0.672270346330672,0.29914529914529914,1.270855512605789
6,1,5,1.04,1.05,-0.01,117,1.1029105267162929,0.6721088212749601,0.28205128205128205,1.2709377320350328
6,1,5,1.06,1.0,-0.01,117,1.1031273060140678,0.6724957675090515,0.29914529914529914,1.2712512478913307
6,1,5,1.0,1.1,-0.01,117,1.103466938909814,0.6722599313941823,0.24786324786324787,1.2715319217583596
6,1,5,1.02,1.05,-0.01,117,1.10342899946839,0.6724517550614008,0.2564102564102564,1.27154193823374
6,1,5,1.1,0.95,-0.01,117,1.103339045218421,0.6729129769827975,0.3162393162393162,1.2715672894641203
6,1,5,1.04,1.0,-0.01,117,1.1035561477960805,0.672780395246886,0.28205128205128205,1.271751246607802
6,1,5,1.08,0.95,-0.01,117,1.1035695805942025,0.6730659393709827,0.29914529914529914,1.2718360654369483
6,1,5,1.06,0.95,-0.01,117,1.1038935877787337,0.6732815150771091,0.29914529914529914,1.272213966548011
6,1,5,1.0,1.05,-0.01,117,1.1040381266038513,0.6728533584376097,0.24786324786324787,1.2722514662132536
6,1,5,1.02,1.0,-0.01,117,1.1040791038824194,0.6731266552355462,0.2564102564102564,1.272360767691306
6,1,5,1.04,0.95,-0.01,117,1.1043158663893071,0.6735622364493569,0.28205128205128205,1.2727064255016463
6,1,5,1.0,1.0,-0.01,117,1.1047011286011614,0.6735370755705544,0.24786324786324787,1.2730853974938001
6,1,5,1.1,1.1,-0.02,117,1.1049954082514852,0.673163036791239,0.3162393162393162,1.273286167449295
6,1,5,1.02,0.95,-0.01,117,1.1048415199816697,0.673910735797656,0.2564102564102564,1.2733192039310837
6,1,5,1.08,1.1,-0.02,117,1.1052819587027947,0.6733691115328687,0.29914529914529914,1.2736242365860118
6,1,5,1.06,1.1,-0.02,117,1.1056400584744641,0.673623078525718,0.23931623931623933,1.2740458281058937
6,1,5,1.0,0.95,-0.01,117,1.1054759806967809,0.6743297495330467,0.24786324786324787,1.2740584180800425
6,1,5,1.1,1.05,-0.02,117,1.1057665506553542,0.6738730185156829,0.3162393162393162,1.274234805284275
6,1,5,1.04,1.1,-0.02,117,1.1060733898011244,0.6739269352610705,0.23931623931623933,1.274555123616392
6,1,5,1.08,1.05,-0.02,117,1.1060390857002664,0.6740715853861321,0.29914529914529914,1.2745569820467995
6,1,5,1.06,1.05,-0.02,117,1.1063894681560777,0.6743223638557372,0.23931623931623933,1.2749700591200122
6,1,5,1.02,1.1,-0.02,117,1.1065858725917126,0.6742827711716982,0.24786324786324787,1.275156565384637
6,1,5,1.1,1.0,-0.02,117,1.1066621826529943,0.6746917769647663,0.3162393162393162,1.275335126894186
6,1,5,1.04,1.05,-0.02,117,1.1068217023401852,0.6746275095593485,0.23931623931623933,1.2754785797300223
6,1,5,1.08,1.0,-0.02,117,1.1069164743541522,0.6748803376011857,0.29914529914529914,1.2756365587544487
6,1,5,1.0,1.1,-0.02,117,1.1071816840950015,0.6746927727667594,0.26495726495726496,1.2758548772866913
6,1,5,1.06,1.0,-0.02,117,1.1072558543450994,0.6751260833831502,0.23931623931623933,1.276037375190887
6,1,5,1.02,1.05,-0.02,117,1.1073400496440045,0.6749892732840345,0.24786324786324787,1.276087367965013
6,1,5,1.04,1.0,-0.02,117,1.107684696127112,0.6754313492430003,0.23931623931623933,1.2765425334378622
6,1,5,1.1,0.95,-0.02,117,1.1077094969738233,0.6756419243792774,0.3162393162393162,1.2766199780686427
6,1,5,1.0,1.05,-0.02,117,1.1079490496828854,0.6754100059245683,0.26495726495726496,1.2768015511640276
6,1,5,1.08,0.95,-0.02,117,1.1079401927958292,0.6758173027769634,0.29914529914529914,1.27689451849007
6,1,5,1.02,1.0,-0.02,117,1.108207652213451,0.6757985680960701,0.24786324786324787,1.2771572942374685
6,1,5,1.06,0.95,-0.02,117,1.108264362381265,0.6760556334567058,0.23931623931623933,1.2772782707454413
6,1,5,1.04,0.95,-0.02,117,1.1086868053803278,0.6763594559288562,0.23931623931623933,1.2777766693625419
6,1,5,1.0,1.0,-0.02,117,1.108829676932193,0.676230275483606,0.26495726495726496,1.2778872458030945
6,1,5,1.02,0.95,-0.02,117,1.1092126253822847,0.6767314098477285,0.24786324786324787,1.2783954778442168
6,1,5,1.0,0.95,-0.02,117,1.1098472545622342,0.6771742391555386,0.26495726495726496,1.279140814351119
7,1,6,1.08,1.1,0.02,137,1.0946097220278217,0.6659621877564694,0.35766423357664234,1.261100268966939
7,1,6,1.1,1.1,0.02,137,1.0946351833298946,0.6660024652757448,0.3357664233576642,1.2611357996488308
7,1,6,1.06,1.1,0.02,137,1.0946499030032304,0.6659665701111631,0.35036496350364965,1.261141545531021
7,1,6,1.04,1.1,0.02,137,1.0947591802137613,0.6660175339266541,0.35036496350364965,1.2612635636954248
7,1,6,1.02,1.1,0.02,137,1.0949412318721963,0.6661170899559994,0.34306569343065696,1.261470504361196
7,1,6,1.08,1.05,0.02,137,1.0949264585296048,0.6663386566483417,0.35766423357664234,1.2615111226916902
7,1,6,1.06,1.05,0.02,137,1.0949451238081307,0.66632786238933,0.35036496350364965,1.261527089405463
7,1,6,1.1,1.05,0.02,137,1.0949794683672214,0.6663983513789399,0.3357664233576642,1.2615790562119564
7,1,6,1.04,1.05,0.02,137,1.0950392294486369,0.6663680506865688,0.35036496350364965,1.261631242120279
7,1,6,1.0,1.1,0.02,137,1.0951999790435223,0.6662673431086431,0.35036496350364965,1.261766814820683
7,1,6,1.02,1.05,0.02,137,1.095212783698893,0.6664613962784937,0.34306569343065696,1.2618281327685164
7,1,6,1.06,1.0,0.02,137,1.0953185687602964,0.6667620107484686,0.35036496350364965,1.2620090714474137
7,1,6,1.08,1.0,0.02,137,1.0953258786553095,0.6667908860233341,0.35766423357664234,1.2620236001611431
7,1,6,1.04,1.0,0.02,137,1.0953940079343496,0.6667892002970609,0.35036496350364965,1.262091308008615
7,1,6,1.0,1.05,0.02,137,1.0954700578375205,0.6666101713930819,0.35036496350364965,1.262122600685791
7,1,6,1.1,1.0,0.02,137,1.0954118151062309,0.6668735613688079,0.3357664233576642,1.262130205448433
7,1,6,1.02,1.0,0.02,137,1.0955565829056269,0.6668748152507109,0.34306569343065696,1.2622752867183045
7,1,6,1.0,1.0,0.02,137,1.095810966240766,0.6670213165725785,0.35036496350364965,1.2625662953839107
7,1,6,1.06,0.95,0.02,137,1.0957902724526627,0.667285718897403,0.35036496350364965,1.2626117021770134
7,1,6,1.08,0.95,0.02,137,1.0958290788928844,0.6673362347359051,0.35766423357664234,1.2626631375768607
7,1,6,1.04,0.95,0.02,137,1.0958426965661814,0.6672971791307414,0.35036496350364965,1.2626669913488668
7,1,6,1.1,0.95,0.02,137,1.095954580463389,0.6674462526324811,0.3357664233576642,1.2628161436215093
7,1,6,1.02,0.95,0.02,137,1.0959911749880613,0.6673731878637383,0.34306569343065696,1.262834471953996
7,1,6,1.0,0.95,0.02,137,1.0962408432062076,0.6675164200267465,0.35036496350364965,1.2631199482128943
7,1,6,1.08,1.1,0.01,137,1.0964922161782795,0.667187911421553,0.34306569343065696,1.2632891940336677
7,1,6,1.1,1.1,0.01,137,1.0965169476494783,0.6672244161227375,0.32116788321167883,1.2633230516801626
7,1,6,1.06,1.1,0.01,137,1.0965331375294571,0.6671960605415257,0.3284671532846715,1.2633321526648387
7,1,6,1.04,1.1,0.01,137,1.0966431659140339,0.667250783525074,0.35766423357664234,1.2634558617953024
7,1,6,1.02,1.1,0.01,137,1.0968259798071942,0.667354089484295,0.3357664233576642,1.263664502178268
