match_id,home_elo,away_elo,home_advantage_diff_input,hfa_enabled,matchup_bias_enabled,matchup_bias_coef,matchup_bias,home_advantage_profile_diff_raw,home_advantage_profile_diff_clipped,HFA_base,HFA_multiplier,hfa_clip_min,hfa_clip_max,elo_diff_scale_factor,hfa_added_to_diff,hfa_added_to_diff_raw,HFA_applied,elo_diff_before_hfa,elo_diff_after_hfa,diff_raw_no_hfa,elo_diff_raw,elo_diff_scaled,elo_diff_for_prob,elo_diff,expected_home,draw_model_input,draw_model_output,draw_model_poi,draw_model_elo,absence_home_score,absence_away_score,absence_diff_for_prob,absence_adjust_for_prob,elo_diff_effective_for_multinom,hda_model_mode_effective,prob_home_win,prob_draw,prob_away_win,prob_home_win_before_signfix,prob_away_win_before_signfix,elo_sign_fix_applied,elo_sign_fix_reason,predicted_result,decision_reason,argmax_result,argmax_max_prob,prob_home_win_raw,prob_draw_raw,prob_away_win_raw,base_prob_home,base_prob_draw,base_prob_away,prob_home_win_cal,prob_draw_cal,prob_away_win_cal,final_prob_home,final_prob_draw,final_prob_away,delta_prob_home,delta_prob_draw,delta_prob_away,residue_detected,predicted_result_cal,decision_reason_cal,argmax_result_cal,argmax_max_prob_cal,phase
j1_2026_10091900_鹿島_G大阪,1587.9858726665605,1499.633751659352,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,88.35212100720855,88.35212100720855,88.35212100720855,88.35212100720855,64.79155540528627,64.79155540528627,64.79155540528627,0.5618434000145297,64.79155540528627,0.312080793342981,,,0.0,0.0,0.0,0.0,64.79155540528627,multinom,0.34460987328424564,0.312080793342981,0.34330933337277336,0.34330933337277336,0.34460987328424564,True,pos_diff_home_lt_away_swap,H,ARGMAX,H,0.34460987328424564,0.34460987328424564,0.312080793342981,0.34330933337277336,0.3387943108340985,0.30681418468235055,0.3543915044835509,0.3387943108340985,0.30681418468235055,0.3543915044835509,0.3387943108340985,0.30681418468235055,0.3543915044835509,0.0,0.0,0.0,False,A,ARGMAX,A,0.3543915044835509,prediction
j1_2026_10091900_柏_神戸,1610.8505035364842,1576.1920061984345,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,34.658497338049756,34.658497338049756,34.658497338049756,34.658497338049756,25.41623138123649,25.41623138123649,25.41623138123649,0.5243652841091861,25.41237425266506,0.40238244729299955,,,0.05,0.011428714285714285,-0.03857128571428572,-0.003857128571428572,25.41237425266506,multinom,0.3001288479689088,0.40238244729299955,0.2974887047380917,0.3001288479689088,0.2974887047380917,False,,D,ARGMAX,D,0.40238244729299955,0.3001288479689088,0.40238244729299955,0.2974887047380917,0.2957300307784864,0.39648495747069484,0.3077850117508188,0.2957300307784864,0.39648495747069484,0.3077850117508188,0.2957300307784864,0.39648495747069484,0.3077850117508188,0.0,0.0,0.0,False,D,ARGMAX,D,0.39648495747069484,prediction
j1_2026_10101400_C大阪_横浜FM,1500.4785529573169,1508.336331567684,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-7.857778610367177,-7.857778610367177,-7.857778610367177,-7.857778610367177,-5.7623709809359305,-5.7623709809359305,-5.7623709809359305,0.49447174631906,5.764870980935931,0.42361305777957126,,,0.025,0.0,-0.025,-0.0025000000000000005,-5.764870980935931,multinom,0.2844426910278081,0.42361305777957126,0.29194425119262063,0.29194425119262063,0.2844426910278081,True,neg_diff_home_gt_away_swap,D,ARGMAX,D,0.42361305777957126,0.2844426910278081,0.42361305777957126,0.29194425119262063,0.28035035727154684,0.4175184521854521,0.3021311905430011,0.28035035727154684,0.4175184521854521,0.3021311905430011,0.28035035727154684,0.4175184521854521,0.3021311905430011,0.0,0.0,0.0,False,D,ARGMAX,D,0.4175184521854521,prediction
j1_2026_10101500_FC東京_浦和,1536.3322504538176,1520.4152975845043,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,15.916952869313263,15.916952869313263,15.916952869313263,15.916952869313263,11.672432104163061,11.672432104163061,11.672432104163061,0.5111967812147653,11.67406370416306,0.3777986783392834,,,0.033684,0.05,0.016316000000000004,0.0016316000000000004,11.67406370416306,multinom,0.33610326967621307,0.3777986783392834,0.2860980519845036,0.33610326967621307,0.2860980519845036,False,,D,ARGMAX,D,0.3777986783392834,0.33610326967621307,0.3777986783392834,0.2860980519845036,0.3313631520610081,0.37247052377559114,0.2961663241634008,0.3313631520610081,0.37247052377559114,0.2961663241634008,0.3313631520610081,0.37247052377559114,0.2961663241634008,0.0,0.0,0.0,False,D,ARGMAX,D,0.37247052377559114,prediction
j1_2026_10101500_福岡_岡山,1452.9444133039037,1485.0334467344478,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-32.08903343054408,-32.08903343054408,-32.08903343054408,-32.08903343054408,-23.53195784906566,-23.53195784906566,-23.53195784906566,0.47743852466476316,23.53195784906566,0.3216534761439657,,,0.0,0.0,0.0,0.0,-23.53195784906566,multinom,0.2359286545552368,0.3216534761439657,0.4424178693007976,0.2359286545552368,0.4424178693007976,False,,A,ARGMAX,A,0.4424178693007976,0.2359286545552368,0.3216534761439657,0.4424178693007976,0.23082265127701979,0.3146922034374473,0.4544851452855331,0.23082265127701979,0.3146922034374473,0.4544851452855331,0.23082265127701979,0.3146922034374473,0.4544851452855331,0.0,0.0,0.0,False,A,ARGMAX,A,0.4544851452855331,prediction
j1_2026_10101900_京都_町田,1531.3537241313115,1569.652845812938,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-38.2991216816265,-38.2991216816265,-38.2991216816265,-38.2991216816265,-28.086022566526104,-28.086022566526104,-28.086022566526104,0.4730800329475695,28.086022566526104,0.27195647694492303,,,0.05,0.05,0.0,0.0,-28.086022566526104,multinom,0.20604004713750937,0.27195647694492303,0.5220034759175676,0.20604004713750937,0.5220034759175676,False,,A,ARGMAX,A,0.5220034759175676,0.20604004713750937,0.27195647694492303,0.5220034759175676,0.2007991543119033,0.2650389151956456,0.5341619304924511,0.2007991543119033,0.2650389151956456,0.5341619304924511,0.2007991543119033,0.2650389151956456,0.5341619304924511,0.0,0.0,0.0,False,A,ARGMAX,A,0.5341619304924511,prediction
j1_2026_10111400_千葉_長崎,1465.6483606520708,1486.4417235516175,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-20.793362899546764,-20.793362899546764,-20.793362899546764,-20.793362899546764,-15.248466126334295,-15.248466126334295,-15.248466126334295,0.4853746354910602,15.255132826334295,0.377059314047354,,,0.066667,0.0,-0.066667,-0.006666700000000001,-15.255132826334295,multinom,0.2682379598225763,0.377059314047354,0.35470272613006976,0.2682379598225763,0.35470272613006976,False,,D,ARGMAX,D,0.377059314047354,0.2682379598225763,0.377059314047354,0.35470272613006976,0.263563623042482,0.37048864738595205,0.36594772957156607,0.263563623042482,0.37048864738595205,0.36594772957156607,0.263563623042482,0.37048864738595205,0.36594772957156607,0.0,0.0,0.0,False,D,ARGMAX,D,0.37048864738595205,prediction
j1_2026_10111500_水戸_清水,1508.9896504133046,1448.6459499506016,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,60.343700462703055,60.343700462703055,60.343700462703055,60.343700462703055,44.25204700598224,44.25204700598224,44.25204700598224,0.5423541342802051,44.25204700598224,0.3709887013367866,,,0.0,0.0,0.0,0.0,44.25204700598224,multinom,0.3168662132987212,0.3709887013367866,0.31214508536449226,0.3168662132987212,0.31214508536449226,False,,D,ARGMAX,D,0.3709887013367866,0.3168662132987212,0.3709887013367866,0.31214508536449226,0.31199679991162804,0.36528756542222124,0.3227156346661508,0.31199679991162804,0.36528756542222124,0.3227156346661508,0.31199679991162804,0.36528756542222124,0.3227156346661508,0.0,0.0,0.0,False,D,ARGMAX,D,0.36528756542222124,prediction
j1_2026_10111500_東京V_広島,1441.5790991182405,1583.765506475245,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-142.18640735700455,-142.18640735700455,-142.18640735700455,-142.18640735700455,-104.27003206180335,-104.27003206180335,-104.27003206180335,0.4012760524579487,104.28427689275573,0.16248867954734952,,,0.16825430952380954,0.025806,-0.14244830952380955,-0.014244830952380955,-104.28427689275573,multinom,0.1533631106935094,0.16248867954734952,0.684148209759141,0.1533631106935094,0.684148209759141,False,,A,ARGMAX,A,0.684148209759141,0.1533631106935094,0.16248867954734952,0.684148209759141,0.14829047745959395,0.1571142092964549,0.6945953132439512,0.14829047745959395,0.1571142092964549,0.6945953132439512,0.14829047745959395,0.1571142092964549,0.6945953132439512,0.0,0.0,0.0,False,A,ARGMAX,A,0.6945953132439512,prediction
j1_2026_10111600_川崎F_名古屋,1532.0178638131608,1448.9663594190042,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,83.05150439415661,83.05150439415661,83.05150439415661,83.05150439415661,60.90443655571485,60.90443655571485,60.90443655571485,0.5581677878708098,60.911272870000566,0.3062480040750639,,,0.055952714285714286,0.12431585714285714,0.06836314285714286,0.006836314285714286,60.911272870000566,multinom,0.35063029731088113,0.3062480040750639,0.343121698614055,0.35063029731088113,0.343121698614055,False,,H,ARGMAX,H,0.35063029731088113,0.35063029731088113,0.3062480040750639,0.343121698614055,0.34471631493485977,0.301082605326918,0.3542010797382222,0.34471631493485977,0.301082605326918,0.3542010797382222,0.34471631493485977,0.301082605326918,0.3542010797382222,0.0,0.0,0.0,False,A,ARGMAX,A,0.3542010797382222,prediction
j1_2026_10171300_清水_G大阪,1448.6459499506016,1499.633751659352,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-50.98780170875034,-50.98780170875034,-50.98780170875034,-50.98780170875034,-37.39105458641692,-37.39105458641692,-37.39105458641692,0.46418805866244334,37.39105458641692,0.3742495634859907,,,0.0,0.0,0.0,0.0,-37.39105458641692,multinom,0.2982983994694515,0.3742495634859907,0.3274520370445577,0.2982983994694515,0.3274520370445577,False,,D,ARGMAX,D,0.3742495634859907,0.2982983994694515,0.3742495634859907,0.3274520370445577,0.2934931529301708,0.36822083043557235,0.3382860166342568,0.2934931529301708,0.36822083043557235,0.3382860166342568,0.2934931529301708,0.36822083043557235,0.3382860166342568,0.0,0.0,0.0,False,D,ARGMAX,D,0.36822083043557235,prediction
j1_2026_10171400_千葉_横浜FM,1465.6483606520708,1508.336331567684,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-42.68797091561328,-42.68797091561328,-42.68797091561328,-42.68797091561328,-31.304512004783074,-31.304512004783074,-31.304512004783074,0.47000219391543835,31.311178704783075,0.3104701001947873,,,0.066667,0.0,-0.066667,-0.006666700000000001,-31.311178704783075,multinom,0.23373958528809508,0.3104701001947873,0.45579031451711755,0.23373958528809508,0.45579031451711755,False,,A,ARGMAX,A,0.45579031451711755,0.23373958528809508,0.3104701001947873,0.45579031451711755,0.2285314638977446,0.3035522904968889,0.4679162456053666,0.2285314638977446,0.3035522904968889,0.4679162456053666,0.2285314638977446,0.3035522904968889,0.4679162456053666,0.0,0.0,0.0,False,A,ARGMAX,A,0.4679162456053666,prediction
j1_2026_10171400_東京V_FC東京,1441.5790991182405,1536.3322504538176,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-94.75315133557706,-94.75315133557706,-94.75315133557706,-94.75315133557706,-69.48564431275652,-69.48564431275652,-69.48564431275652,0.43372699399143677,69.49894261275652,0.2213017120800132,,,0.166667,0.033684,-0.13298300000000002,-0.013298300000000002,-69.49894261275652,multinom,0.18781386426593133,0.2213017120800132,0.5908844236540555,0.18781386426593133,0.5908844236540555,False,,A,ARGMAX,A,0.5908844236540555,0.18781386426593133,0.2213017120800132,0.5908844236540555,0.18242428096014915,0.21495114782518993,0.602624571214661,0.18242428096014915,0.21495114782518993,0.602624571214661,0.18242428096014915,0.21495114782518993,0.602624571214661,0.0,0.0,0.0,False,A,ARGMAX,A,0.602624571214661,prediction
j1_2026_10171400_広島_京都,1583.765506475245,1531.3537241313115,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,52.41178234393351,52.41178234393351,52.41178234393351,52.41178234393351,38.43530705221791,38.43530705221791,38.43530705221791,0.536808524155965,38.43772645221791,0.3037624599986097,,,0.025806,0.05,0.024194000000000004,0.0024194000000000004,38.43772645221791,multinom,0.3698625788999665,0.3037624599986097,0.3263749611014238,0.3698625788999665,0.3263749611014238,False,,H,ARGMAX,H,0.3698625788999665,0.3698625788999665,0.3037624599986097,0.3263749611014238,0.363923798127086,0.29888503048863335,0.33719117138428056,0.363923798127086,0.29888503048863335,0.33719117138428056,0.363923798127086,0.29888503048863335,0.33719117138428056,0.0,0.0,0.0,False,H,ARGMAX,H,0.363923798127086,prediction
j1_2026_10171500_鹿島_長崎,1587.9858726665605,1486.4417235516175,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,101.54414911494291,101.54414911494291,101.54414911494291,101.54414911494291,74.46570935095814,74.46570935095814,74.46570935095814,0.570960911389971,74.46570935095814,0.30576138658046476,,,0.0,0.0,0.0,0.0,74.46570935095814,multinom,0.35414393976534797,0.30576138658046476,0.3400946736541873,0.3400946736541873,0.35414393976534797,True,pos_diff_home_lt_away_swap,H,ARGMAX,H,0.35414393976534797,0.35414393976534797,0.30576138658046476,0.3400946736541873,0.34822250874186755,0.3006489315671738,0.3511285596909585,0.34822250874186755,0.3006489315671738,0.3511285596909585,0.34822250874186755,0.3006489315671738,0.3511285596909585,0.0,0.0,0.0,False,A,ARGMAX,A,0.3511285596909585,prediction
j1_2026_10171500_C大阪_川崎F,1500.4785529573169,1532.0178638131608,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-31.53931085584395,-31.53931085584395,-31.53931085584395,-31.53931085584395,-23.128827960952233,-23.128827960952233,-23.128827960952233,0.477824517601198,23.12680411809509,0.37251242261641904,,,0.025,0.04523842857142857,0.020238428571428567,0.0020238428571428568,-23.12680411809509,multinom,0.27329839048263743,0.37251242261641904,0.35418918690094353,0.27329839048263743,0.35418918690094353,False,,D,ARGMAX,D,0.37251242261641904,0.27329839048263743,0.37251242261641904,0.35418918690094353,0.2685426454211403,0.36603022522376033,0.36542712935509924,0.2685426454211403,0.36603022522376033,0.36542712935509924,0.2685426454211403,0.36603022522376033,0.36542712935509924,0.0,0.0,0.0,False,D,ARGMAX,D,0.36603022522376033,prediction
j1_2026_10171600_水戸_浦和,1508.9896504133046,1520.4152975845043,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-11.425647171199671,-11.425647171199671,-11.425647171199671,-11.425647171199671,-8.378807925546425,-8.378807925546425,-8.378807925546425,0.4919619766267051,8.373807925546425,0.42343097600555113,,,0.0,0.05,0.05,0.005000000000000001,-8.373807925546425,multinom,0.2751751519897661,0.42343097600555113,0.3013938720046828,0.3013938720046828,0.2751751519897661,True,neg_diff_home_gt_away_swap,D,ARGMAX,D,0.42343097600555113,0.2751751519897661,0.42343097600555113,0.3013938720046828,0.2710899101063484,0.4171447326968579,0.3117653571967937,0.2710899101063484,0.4171447326968579,0.3117653571967937,0.2710899101063484,0.4171447326968579,0.3117653571967937,0.0,0.0,0.0,False,D,ARGMAX,D,0.4171447326968579,prediction
j1_2026_10171900_柏_名古屋,1610.8505035364842,1448.9663594190042,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,161.88414411748,161.88414411748,161.88414411748,161.88414411748,118.71503901948533,118.71503901948533,118.71503901948533,0.6119664839121141,118.72174111948533,0.22356920169415628,,,0.05,0.117021,0.067021,0.0067021,118.72174111948533,multinom,0.41336162316803515,0.22356920169415628,0.3630691751378086,0.36306917513780856,0.4133616231680351,True,pos_diff_home_lt_away_swap,H,ARGMAX,H,0.41336162316803515,0.41336162316803515,0.22356920169415628,0.3630691751378086,0.40599147369466976,0.2195830105680945,0.3744255157372357,0.40599147369466976,0.2195830105680945,0.3744255157372357,0.40599147369466976,0.2195830105680945,0.3744255157372357,0.0,0.0,0.0,False,H,ARGMAX,H,0.40599147369466976,prediction
j1_2026_10181355_岡山_神戸,1485.0334467344478,1576.1920061984345,0.0,True,False,60.0,0.0,0.0,0.0,0.0,1.0,,,1.1,0.0,0.0,0.0,-91.15855946398665,-91.15855946398665,-91.15855946398665,-91.15855946398665,-66.84961027359022,-66.84961027359022,-66.84961027359022,0.4362132469835014,66.8488483593045,0.3119710586445572,,,0.0,0.0076191428571428564,0.0076191428571428564,0.0007619142857142857,-66.8488483593045,multinom,0.25396976538154925,0.3119710586445572,0.4340591759738936,0.25396976538154925,0.4340591759738936,False,,A,ARGMAX,A,0.4340591759738936,0.25396976538154925,0.3119710586445572,0.4340591759738936,0.24857495340931932,0.30534418634880806,0.44608086024187266,0.24857495340931932,0.30534418634880806,0.44608086024187266,0.24857495340931932,0.30534418634880806,0.44608086024187266,0.0,0.0,0.0,False,A,ARGMAX,A,0.44608086024187266,prediction
