節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,_merge_weather
第４節第１日,j1_2026_02271903_町田_千葉,2026-02-27 19:03:00,Ｇスタ,町田,千葉,2.0,1.0,2.53,5.4,0.0,0.0,,,,,,,2.53,5.4,,,,,,,,,,,left_only
第３節第２日,j1_2026_02221503_Ｃ大阪_広島,2026-02-22 15:03:00,ヨドコウ,Ｃ大阪,広島,1.0,2.0,1.4,5.29,0.0,0.0,,,,,,,1.4,5.29,,,,,,,,,,,left_only
第３節第２日,j1_2026_02221403_京都_福岡,2026-02-22 14:03:00,サンガＳ,京都,福岡,2.0,0.0,1.4,4.0,0.0,0.0,,,,,,,1.4,4.0,,,,,,,,,,,left_only
第３節第２日,j1_2026_02221403_岡山_Ｇ大阪,2026-02-22 14:03:00,ＪＦＥス,岡山,Ｇ大阪,1.0,2.0,2.69,5.29,0.0,0.0,,,,,,,2.69,5.29,,,,,,,,,,,left_only
第３節第１日,j1_2026_02211503_名古屋_長崎,2026-02-21 15:03:00,豊田ス,名古屋,長崎,1.0,3.0,1.4,5.4,0.0,0.0,,,,,,,1.4,5.4,,,,,,,,,,,left_only
第３節第１日,j1_2026_02211433_清水_神戸,2026-02-21 14:33:00,アイスタ,清水,神戸,1.0,0.0,1.29,5.29,0.0,0.0,,,,,,,1.29,5.29,,,,,,,,,,,left_only
第３節第１日,j1_2026_02211603_鹿島_柏,2026-02-21 16:03:00,メルスタ,鹿島,柏,2.0,0.0,1.29,5.29,0.0,0.0,,,,,,,1.29,5.29,,,,,,,,,,,left_only
第３節第１日,j1_2026_02211503_川崎Ｆ_FC東京,2026-02-21 15:03:00,Ｕ等々力,川崎Ｆ,FC東京,1.0,2.0,1.4,4.0,0.0,0.0,,,,,,,1.4,4.0,,,,,,,,,,,left_only
第３節第１日,j1_2026_02211403_横浜FM_浦和,2026-02-21 14:03:00,日産ス,横浜FM,浦和,0.0,2.0,1.4,6.69,0.0,0.0,,,,,,,1.4,6.69,,,,,,,,,,,left_only
第２節第３日,j1_2026_02151503_福岡_Ｃ大阪,2026-02-15 15:03:00,ベススタ,福岡,Ｃ大阪,0.0,2.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第２節第２日,j1_2026_02151403_柏_東京Ｖ,2026-02-15 14:03:00,三協Ｆ柏,柏,東京Ｖ,1.0,2.0,1.4,4.0,0.0,0.0,,,,,,,1.4,4.0,,,,,,,,,,,left_only
第２節第１日,j1_2026_02141503_鹿島_横浜FM,2026-02-14 15:03:00,メルスタ,鹿島,横浜FM,1.0,0.0,1.4,4.0,0.0,0.0,,,,,,,1.4,4.0,,,,,,,,,,,left_only
第２節第１日,j1_2026_02131903_神戸_長崎,2026-02-13 19:03:00,ノエスタ,神戸,長崎,2.0,0.0,1.4,4.0,0.0,0.0,,,,,,,1.4,4.0,,,,,,,,,,,left_only
第１節第３日,j1_2026_02081403_名古屋_清水,2026-02-08 14:03:00,豊田ス,名古屋,清水,1.0,0.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第３日,j1_2026_02081603_東京Ｖ_水戸,2026-02-08 16:03:00,味スタ,東京Ｖ,水戸,3.0,1.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第３日,j1_2026_02081503_川崎Ｆ_柏,2026-02-08 15:03:00,Ｕ等々力,川崎Ｆ,柏,5.0,3.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第２日,j1_2026_02071304_千葉_浦和,2026-02-07 13:04:00,フクアリ,千葉,浦和,0.0,2.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第１節第１日,j1_2026_02061906_長崎_広島,2026-02-06 19:06:00,ピースタ,長崎,広島,1.0,3.0,0.0,4.0,0.0,0.0,,,,,,,0.0,4.0,,,,,,,,,,,left_only
第４節第１日,j1_2026_02271903_広島_京都,2026-02-27 19:03:00,Ｅピース,広島,京都,1.0,2.0,2.53,5.29,0.0,0.0,,,,,,,2.53,5.29,,,,,,,,,,,left_only
第４節第１日,j1_2026_02271903_神戸_福岡,2026-02-27 19:03:00,ノエスタ,神戸,福岡,2.0,1.0,2.53,5.4,0.0,0.0,,,,,,,2.53,5.4,,,,,,,,,,,left_only
第４節第２日,j1_2026_02281303_横浜FM_東京Ｖ,2026-02-28 13:03:00,日産ス,横浜FM,東京Ｖ,3.0,2.0,1.29,5.29,0.0,0.0,,,,,,,1.29,5.29,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141403_柏_町田,2026-03-14 14:03:00,三協Ｆ柏,柏,町田,0.0,1.0,4.45,6.08,0.0,0.0,,,,,,,4.45,6.08,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181933_町田_鹿島,2026-03-18 19:33:00,MUFG国立,町田,鹿島,0.0,3.0,3.16,5.63,0.0,0.0,,,,,,,3.16,5.63,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181903_千葉_FC東京,2026-03-18 19:03:00,フクアリ,千葉,FC東京,1.0,2.0,3.33,6.19,0.0,0.0,,,,,,,3.33,6.19,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181903_東京Ｖ_川崎Ｆ,2026-03-18 19:03:00,味スタ,東京Ｖ,川崎Ｆ,0.0,2.0,3.05,6.19,0.0,0.0,,,,,,,3.05,6.19,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181903_水戸_横浜FM,2026-03-18 19:03:00,Ｋｓスタ,水戸,横浜FM,1.0,0.0,3.55,5.92,0.0,0.0,,,,,,,3.55,5.92,,,,,,,,,,,left_only
第６節第２日,j1_2026_03151404_長崎_福岡,2026-03-15 14:04:00,ピースタ,長崎,福岡,1.0,0.0,3.33,6.42,0.0,0.0,,,,,,,3.33,6.42,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141501_広島_Ｇ大阪,2026-03-14 15:01:00,Ｅピース,広島,Ｇ大阪,2.0,0.0,2.08,5.76,0.0,0.0,,,,,,,2.08,5.76,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141403_京都_Ｃ大阪,2026-03-14 14:03:00,サンガＳ,京都,Ｃ大阪,1.0,2.0,3.48,6.08,0.0,0.0,,,,,,,3.48,6.08,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141403_名古屋_神戸,2026-03-14 14:03:00,豊田ス,名古屋,神戸,0.0,3.0,3.48,6.08,0.0,0.0,,,,,,,3.48,6.08,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141603_東京Ｖ_浦和,2026-03-14 16:03:00,MUFG国立,東京Ｖ,浦和,1.0,0.0,3.48,6.56,0.0,0.0,,,,,,,3.48,6.56,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141503_鹿島_川崎Ｆ,2026-03-14 15:03:00,メルスタ,鹿島,川崎Ｆ,1.0,0.0,1.92,5.13,0.0,0.0,,,,,,,1.92,5.13,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141303_横浜FM_千葉,2026-03-14 13:03:00,日産ス,横浜FM,千葉,2.0,0.0,2.19,6.42,0.0,0.0,,,,,,,2.19,6.42,,,,,,,,,,,left_only
第４節第２日,j1_2026_02281403_浦和_鹿島,2026-02-28 14:03:00,埼玉,浦和,鹿島,2.0,3.0,3.82,5.13,0.0,0.0,,,,,,,3.82,5.13,,,,,,,,,,,left_only
第５節第２日,j1_2026_03081503_Ｇ大阪_長崎,2026-03-08 15:03:00,パナスタ,Ｇ大阪,長崎,3.0,2.0,2.08,6.42,0.0,0.0,,,,,,,2.08,6.42,,,,,,,,,,,left_only
第５節第２日,j1_2026_03081300_岡山_京都,2026-03-08 13:00:00,ＪＦＥス,岡山,京都,1.0,0.0,1.93,6.53,0.0,0.0,,,,,,,1.93,6.53,,,,,,,,,,,left_only
第５節第１日,j1_2026_03071603_福岡_名古屋,2026-03-07 16:03:00,ベススタ,福岡,名古屋,1.0,5.0,2.69,6.53,0.0,0.0,,,,,,,2.69,6.53,,,,,,,,,,,left_only
第５節第１日,j1_2026_03071603_鹿島_東京Ｖ,2026-03-07 16:03:00,メルスタ,鹿島,東京Ｖ,2.0,0.0,2.19,6.53,0.0,0.0,,,,,,,2.19,6.53,,,,,,,,,,,left_only
第５節第１日,j1_2026_03071503_浦和_水戸,2026-03-07 15:03:00,埼玉,浦和,水戸,2.0,0.0,3.22,7.33,0.0,0.0,,,,,,,3.22,7.33,,,,,,,,,,,left_only
第５節第１日,j1_2026_03071403_FC東京_横浜FM,2026-03-07 14:03:00,MUFG国立,FC東京,横浜FM,3.0,0.0,1.29,5.13,0.0,0.0,,,,,,,1.29,5.13,,,,,,,,,,,left_only
