節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第７節第１日,j1_2026_03181830_Ｃ大阪_岡山,2026-03-18 18:30:00,Ｃ大阪,岡山,,,0.0,False,0.4,0.255,0.345,H,,False,H
第７節第１日,j1_2026_03181930_町田_鹿島,2026-03-18 19:30:00,町田,鹿島,,,0.0,False,0.377,0.259,0.364,D,,False,D
第７節第１日,j1_2026_03181930_浦和_柏,2026-03-18 19:30:00,浦和,柏,,,0.0,False,0.539,0.231,0.231,H,,False,H
第７節第１日,j1_2026_03181900_東京Ｖ_川崎Ｆ,2026-03-18 19:00:00,東京Ｖ,川崎Ｆ,,,2.0,True,0.559,0.227,0.214,H,,False,H
第７節第１日,j1_2026_03181900_千葉_FC東京,2026-03-18 19:00:00,千葉,FC東京,,,0.5,True,0.349,0.256,0.396,A,,False,A
第７節第１日,j1_2026_03181900_水戸_横浜FM,2026-03-18 19:00:00,水戸,横浜FM,,,0.0,False,0.444,0.247,0.308,H,,False,H
第８節第２日,j1_2026_03221500_Ｃ大阪_神戸,2026-03-22 15:00:00,Ｃ大阪,神戸,,,0.0,False,0.37,0.26,0.37,D,,False,D
第８節第２日,j1_2026_03221400_京都_名古屋,2026-03-22 14:00:00,京都,名古屋,,,0.0,False,0.316,0.249,0.436,A,,False,A
第８節第２日,j1_2026_03221300_清水_広島,2026-03-22 13:00:00,清水,広島,,,-2.0,False,0.167,0.215,0.618,A,,False,A
第８節第１日,j1_2026_03221600_柏_水戸,2026-03-22 16:00:00,柏,水戸,,,-0.5,False,0.275,0.24,0.484,D,,False,D
第８節第１日,j1_2026_03221600_浦和_町田,2026-03-22 16:00:00,浦和,町田,,,-3.0,False,0.22,0.228,0.551,A,,False,A
第８節第１日,j1_2026_03221500_川崎Ｆ_横浜FM,2026-03-22 15:00:00,川崎Ｆ,横浜FM,,,3.0,True,0.7,0.194,0.106,H,,False,H
第８節第１日,j1_2026_03221500_鹿島_千葉,2026-03-22 15:00:00,鹿島,千葉,,,3.0,True,0.67,0.202,0.128,H,,False,H
第８節第１日,j1_2026_03221400_東京Ｖ_FC東京,2026-03-22 14:00:00,東京Ｖ,FC東京,,,3.0,True,0.668,0.203,0.129,H,,False,H
第８節第１日,j1_2026_03211430_福岡_Ｇ大阪,2026-03-21 14:30:00,福岡,Ｇ大阪,,,-0.5,False,0.27,0.239,0.491,D,,False,D
第８節第１日,j1_2026_03211400_岡山_長崎,2026-03-21 14:00:00,岡山,長崎,,,0.0,False,0.509,0.236,0.255,H,,False,H
第９節第２日,j1_2026_04051400_広島_福岡,2026-04-05 14:00:00,広島,福岡,,,1.0,True,0.581,0.222,0.197,H,,False,H
第９節第２日,j1_2026_04051400_岡山_神戸,2026-04-05 14:00:00,岡山,神戸,,,-1.0,False,0.28,0.241,0.478,A,,False,A
第９節第２日,j1_2026_04051300_長崎_清水,2026-04-05 13:00:00,長崎,清水,,,0.0,False,0.316,0.249,0.435,A,,False,A
第９節第２日,j1_2026_04051600_川崎Ｆ_浦和,2026-04-05 16:00:00,川崎Ｆ,浦和,,,1.0,True,0.407,0.254,0.339,H,,False,H
第９節第２日,j1_2026_04051500_FC東京_町田,2026-04-05 15:00:00,FC東京,町田,,,-2.0,False,0.206,0.225,0.569,A,,False,A
第９節第２日,j1_2026_04051400_柏_横浜FM,2026-04-05 14:00:00,柏,横浜FM,,,0.0,False,0.378,0.259,0.363,D,,False,D
第９節第１日,j1_2026_04041600_Ｇ大阪_京都,2026-04-04 16:00:00,Ｇ大阪,京都,,,0.0,False,0.388,0.257,0.355,H,,False,H
第９節第１日,j1_2026_04041500_名古屋_Ｃ大阪,2026-04-04 15:00:00,名古屋,Ｃ大阪,,,0.0,False,0.38,0.258,0.362,D,,False,D
第９節第１日,j1_2026_04041400_水戸_鹿島,2026-04-04 14:00:00,水戸,鹿島,,,-1.0,False,0.238,0.232,0.53,A,,False,A
第９節第１日,j1_2026_04041300_千葉_東京Ｖ,2026-04-04 13:00:00,千葉,東京Ｖ,,,-2.5,False,0.104,0.194,0.702,A,,False,A
第１０節第２日,j1_2026_04121600_川崎Ｆ_鹿島,2026-04-12 16:00:00,川崎Ｆ,鹿島,,,2.0,True,0.507,0.236,0.256,H,,False,H
第１０節第２日,j1_2026_04121400_浦和_東京Ｖ,2026-04-12 14:00:00,浦和,東京Ｖ,,,-3.0,False,0.173,0.216,0.611,A,,False,A
第１０節第１日,j1_2026_04111600_Ｇ大阪_Ｃ大阪,2026-04-11 16:00:00,Ｇ大阪,Ｃ大阪,,,-2.0,False,0.219,0.228,0.553,A,,False,A
第１０節第１日,j1_2026_04111600_京都_岡山,2026-04-11 16:00:00,京都,岡山,,,0.0,False,0.349,0.256,0.395,D,,False,D
第１０節第１日,j1_2026_04111500_神戸_名古屋,2026-04-11 15:00:00,神戸,名古屋,,,2.0,True,0.497,0.238,0.265,H,,False,H
第１０節第１日,j1_2026_04111400_福岡_長崎,2026-04-11 14:00:00,福岡,長崎,,,0.5,True,0.463,0.244,0.293,H,,False,H
第１０節第１日,j1_2026_04111400_広島_清水,2026-04-11 14:00:00,広島,清水,,,1.0,True,0.579,0.223,0.198,H,,False,H
第１０節第１日,j1_2026_04111500_横浜FM_FC東京,2026-04-11 15:00:00,横浜FM,FC東京,,,0.0,False,0.252,0.235,0.512,A,,False,A
第１０節第１日,j1_2026_04111400_町田_柏,2026-04-11 14:00:00,町田,柏,,,1.0,True,0.624,0.213,0.163,H,,False,H
第１０節第１日,j1_2026_04111300_千葉_水戸,2026-04-11 13:00:00,千葉,水戸,,,0.0,False,0.327,0.251,0.421,D,,False,D
第１１節第２日,j1_2026_04191600_名古屋_福岡,2026-04-19 16:00:00,名古屋,福岡,,,3.0,True,0.704,0.193,0.103,H,,False,H
第１１節第２日,j1_2026_04191500_Ｇ大阪_岡山,2026-04-19 15:00:00,Ｇ大阪,岡山,,,0.0,False,0.369,0.26,0.372,D,,False,D
第１１節第２日,j1_2026_04191400_神戸_清水,2026-04-19 14:00:00,神戸,清水,,,3.0,True,0.686,0.198,0.116,H,,False,H
第１１節第２日,j1_2026_04191300_水戸_柏,2026-04-19 13:00:00,水戸,柏,,,0.0,False,0.481,0.241,0.278,H,,False,H
第１１節第１日,j1_2026_04181600_Ｃ大阪_京都,2026-04-18 16:00:00,Ｃ大阪,京都,,,0.0,False,0.445,0.247,0.308,H,,False,H
第１１節第１日,j1_2026_04181400_広島_長崎,2026-04-18 14:00:00,広島,長崎,,,1.0,True,0.649,0.208,0.144,H,,False,H
第１１節第１日,j1_2026_04181500_東京Ｖ_千葉,2026-04-18 15:00:00,東京Ｖ,千葉,,,3.0,True,0.741,0.182,0.078,H,,False,H
第１１節第１日,j1_2026_04181400_町田_FC東京,2026-04-18 14:00:00,町田,FC東京,,,1.0,True,0.508,0.236,0.256,H,,False,H
第１１節第１日,j1_2026_04181400_鹿島_浦和,2026-04-18 14:00:00,鹿島,浦和,,,1.0,True,0.402,0.255,0.343,D,,False,D
第１１節第１日,j1_2026_04181300_横浜FM_川崎Ｆ,2026-04-18 13:00:00,横浜FM,川崎Ｆ,,,-1.0,False,0.151,0.21,0.639,A,,False,A
第１２節第１日,j1_2026_04251400_清水_名古屋,2026-04-25 14:00:00,清水,名古屋,,,0.0,False,0.228,0.23,0.542,A,,False,A
第１２節第２日,j1_2026_04251400_町田_東京Ｖ,2026-04-25 14:00:00,町田,東京Ｖ,,,-2.0,False,0.187,0.22,0.594,A,,False,A
第１２節第２日,j1_2026_04251400_浦和_横浜FM,2026-04-25 14:00:00,浦和,横浜FM,,,0.0,False,0.631,0.212,0.157,H,,False,H
第１２節第１日,j1_2026_04241900_FC東京_水戸,2026-04-24 19:00:00,FC東京,水戸,,,0.5,True,0.443,0.247,0.309,D,,False,D
第１２節第１日,j1_2026_04241900_柏_鹿島,2026-04-24 19:00:00,柏,鹿島,,,-1.0,False,0.147,0.209,0.644,A,,False,A
第１２節第２日,j1_2026_04251500_川崎Ｆ_千葉,2026-04-25 15:00:00,川崎Ｆ,千葉,,,3.0,True,0.694,0.196,0.11,H,,False,H
第１２節第１日,j1_2026_04251400_岡山_福岡,2026-04-25 14:00:00,岡山,福岡,,,0.0,False,0.499,0.238,0.263,H,,False,H
第１２節第１日,j1_2026_04251600_広島_Ｃ大阪,2026-04-25 16:00:00,広島,Ｃ大阪,,,-2.0,False,0.257,0.236,0.507,A,,False,A
第１２節第２日,j1_2026_04261400_神戸_京都,2026-04-26 14:00:00,神戸,京都,,,2.0,True,0.578,0.223,0.199,D,,False,D
第１２節第１日,j1_2026_04251830_長崎_Ｇ大阪,2026-04-25 18:30:00,長崎,Ｇ大阪,,,-1.0,False,0.166,0.214,0.62,A,,False,A
第１３節第１日,j1_2026_04291500_京都_Ｇ大阪,2026-04-29 15:00:00,京都,Ｇ大阪,,,0.0,False,0.343,0.254,0.402,A,,False,A
第１３節第１日,j1_2026_04291500_名古屋_岡山,2026-04-29 15:00:00,名古屋,岡山,,,2.0,True,0.57,0.224,0.205,H,,False,H
第１３節第１日,j1_2026_04291400_福岡_広島,2026-04-29 14:00:00,福岡,広島,,,-2.5,False,0.112,0.197,0.691,A,,False,A
第１３節第１日,j1_2026_04291400_神戸_Ｃ大阪,2026-04-29 14:00:00,神戸,Ｃ大阪,,,0.0,False,0.365,0.259,0.376,D,,False,D
第１３節第１日,j1_2026_04291300_清水_長崎,2026-04-29 13:00:00,清水,長崎,,,1.0,True,0.528,0.232,0.239,H,,False,H
第１３節第１日,j1_2026_04291600_柏_FC東京,2026-04-29 16:00:00,柏,FC東京,,,0.0,False,0.232,0.231,0.537,A,,False,A
第１３節第１日,j1_2026_04291600_水戸_町田,2026-04-29 16:00:00,水戸,町田,,,-3.0,False,0.136,0.205,0.659,A,,False,A
第１３節第１日,j1_2026_04291500_浦和_川崎Ｆ,2026-04-29 15:00:00,浦和,川崎Ｆ,,,-1.0,False,0.354,0.257,0.389,D,,False,D
第１３節第１日,j1_2026_04291400_千葉_横浜FM,2026-04-29 14:00:00,千葉,横浜FM,,,0.5,True,0.483,0.241,0.276,H,,False,H
第１３節第１日,j1_2026_04291300_東京Ｖ_鹿島,2026-04-29 13:00:00,東京Ｖ,鹿島,,,2.0,True,0.599,0.219,0.183,H,,False,H
第１４節第２日,j1_2026_05031700_長崎_名古屋,2026-05-03 17:00:00,長崎,名古屋,,,-1.0,False,0.116,0.198,0.686,A,,False,A
第１４節第２日,j1_2026_05031500_Ｃ大阪_福岡,2026-05-03 15:00:00,Ｃ大阪,福岡,,,1.0,True,0.625,0.213,0.162,H,,False,H
第１４節第２日,j1_2026_05031600_鹿島_町田,2026-05-03 16:00:00,鹿島,町田,,,0.0,False,0.374,0.259,0.367,D,,False,D
第１４節第２日,j1_2026_05031400_東京Ｖ_柏,2026-05-03 14:00:00,東京Ｖ,柏,,,3.0,True,0.791,0.162,0.047,H,,False,H
第１４節第１日,j1_2026_05021500_Ｇ大阪_神戸,2026-05-02 15:00:00,Ｇ大阪,神戸,,,0.0,False,0.331,0.252,0.418,D,,False,D
第１４節第１日,j1_2026_05021400_京都_清水,2026-05-02 14:00:00,京都,清水,,,1.0,True,0.53,0.232,0.238,H,,False,H
第１４節第１日,j1_2026_05021255_岡山_広島,2026-05-02 12:55:00,岡山,広島,,,-3.0,False,0.165,0.214,0.621,A,,False,A
第１４節第１日,j1_2026_05021600_浦和_千葉,2026-05-02 16:00:00,浦和,千葉,,,0.0,False,0.59,0.221,0.189,H,,False,H
第１４節第１日,j1_2026_05021400_横浜FM_水戸,2026-05-02 14:00:00,横浜FM,水戸,,,-0.5,False,0.218,0.228,0.554,A,,False,A
第１４節第１日,j1_2026_05021400_FC東京_川崎Ｆ,2026-05-02 14:00:00,FC東京,川崎Ｆ,,,0.0,False,0.317,0.249,0.434,A,,False,A
第１５節第１日,j1_2026_05061400_福岡_京都,2026-05-06 14:00:00,福岡,京都,,,-0.5,False,0.245,0.234,0.521,A,,False,A
