match_id,datetime,stadium,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at
j1_2026_04181400_広島_長崎,2026-04-18 14:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_04181400_鹿島_浦和,2026-04-18 14:00:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_04181400_町田_FC東京,2026-04-18 14:00:00,Ｇスタ,,,,,,2026-02-13T00:03:17
j1_2026_04181500_東京Ｖ_千葉,2026-04-18 15:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_04181600_Ｃ大阪_京都,2026-04-18 16:00:00,ヨドコウ,,,,,,2026-02-13T00:03:17
j1_2026_04191300_水戸_柏,2026-04-19 13:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
j1_2026_04191400_神戸_清水,2026-04-19 14:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_04191500_Ｇ大阪_岡山,2026-04-19 15:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_04191600_名古屋_福岡,2026-04-19 16:00:00,パロ瑞穂,,,,,,2026-02-13T00:03:17
j1_2026_04241900_柏_鹿島,2026-04-24 19:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_04241900_FC東京_水戸,2026-04-24 19:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_04251400_岡山_福岡,2026-04-25 14:00:00,ＪＦＥス,,,,,,2026-02-13T00:03:17
j1_2026_04251400_清水_名古屋,2026-04-25 14:00:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_04251400_浦和_横浜FM,2026-04-25 14:00:00,埼玉,,,,,,2026-02-13T00:03:17
j1_2026_04251400_町田_東京Ｖ,2026-04-25 14:00:00,Ｇスタ,,,,,,2026-02-13T00:03:17
j1_2026_04251500_川崎Ｆ_千葉,2026-04-25 15:00:00,Ｕ等々力,,,,,,2026-02-13T00:03:17
