節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,prob_home_win_adj,prob_draw_adj,prob_away_win_adj
第６節第２日,j1_2025_03161303_清水_京都,2025-03-16 13:03:00,清水,京都,1,2,-0.5263,False,0.322,0.421,0.257,H,A,False,H,0.3125266,0.4162633,0.2712101
第６節第２日,j1_2025_03161403_岡山_川崎Ｆ,2025-03-16 14:03:00,岡山,川崎Ｆ,0,0,-0.1053,False,0.252,0.416,0.333,A,D,False,A,0.24985285174825178,0.4146367155844156,0.3355104326673327
第６節第２日,j1_2025_03161403_鹿島_浦和,2025-03-16 14:03:00,鹿島,浦和,1,1,1.3685,True,0.322,0.414,0.264,H,D,False,H,0.346633,0.4263165,0.22705050000000002
第６節第２日,j1_2025_03161403_横浜FM_Ｇ大阪,2025-03-16 14:03:00,横浜FM,Ｇ大阪,2,0,0.3158,True,0.272,0.412,0.316,A,H,False,A,0.2776844,0.4148422,0.3074734
第６節第２日,j1_2025_03161403_広島_柏,2025-03-16 14:03:00,広島,柏,1,1,0.0,False,0.325,0.43,0.245,H,D,False,H,0.325,0.43,0.245
第６節第２日,j1_2025_03161503_湘南_神戸,2025-03-16 15:03:00,湘南,神戸,1,2,-0.421,False,0.287,0.41,0.304,A,A,True,A,0.27913528671328675,0.4058014095904096,0.31506330369630375
第７節第１日,j1_2025_03281903_Ｃ大阪_浦和,2025-03-28 19:03:00,Ｃ大阪,浦和,1,1,0.6842,True,0.332,0.422,0.247,H,D,False,H,0.3439839316683317,0.4277362215784216,0.22827984675324678
第７節第２日,j1_2025_03291300_岡山_横浜FM,2025-03-29 13:00:00,岡山,横浜FM,1,0,0.4211,True,0.32,0.401,0.279,H,H,True,H,0.32757980000000003,0.40478990000000004,0.26763030000000004
第７節第２日,j1_2025_03291303_清水_湘南,2025-03-29 13:03:00,清水,湘南,3,0,0.7369,True,0.35,0.407,0.242,H,H,True,H,0.3636145503503504,0.4140395074074074,0.22234594224224224
第７節第２日,j1_2025_03291403_京都_広島,2025-03-29 14:03:00,京都,広島,1,0,-0.0527,False,0.252,0.429,0.319,A,H,False,A,0.2510514,0.4285257,0.3204229
第７節第２日,j1_2025_03291403_新潟_Ｇ大阪,2025-03-29 14:03:00,新潟,Ｇ大阪,3,3,-0.2631,False,0.265,0.412,0.323,A,D,False,A,0.2602642,0.4096321,0.3301037
第７節第２日,j1_2025_03291403_柏_東京Ｖ,2025-03-29 14:03:00,柏,東京Ｖ,0,0,1.3158,True,0.426,0.389,0.185,H,D,False,H,0.4496844,0.40084220000000004,0.14947339999999998
第７節第２日,j1_2025_03291403_名古屋_横浜FC,2025-03-29 14:03:00,名古屋,横浜FC,2,1,0.8421,True,0.351,0.401,0.248,H,H,True,H,0.3661578,0.4085789,0.2252633
第７節第２日,j1_2025_03291503_鹿島_神戸,2025-03-29 15:03:00,鹿島,神戸,1,0,0.7369,True,0.307,0.419,0.275,H,H,True,H,0.3199575066933067,0.4252135185814185,0.25482897472527477
