節,match_id,datetime,stadium,home_team,away_team,home_score,away_score
第１５節第１日,j1_2025_05061603_柏_清水,2025-05-06 16:03:00,三協Ｆ柏,柏,清水,1,0
第１５節第２日,j1_2025_05071903_湘南_広島,2025-05-07 19:03:00,レモンＳ,湘南,広島,0,1
第１５節第２日,j1_2025_05071903_町田_京都,2025-05-07 19:03:00,Ｇスタ,町田,京都,1,2
第１６節第１日,j1_2025_05101403_横浜FC_福岡,2025-05-10 14:03:00,ニッパツ,横浜FC,福岡,1,0
第１６節第１日,j1_2025_05101503_FC東京_神戸,2025-05-10 15:03:00,味スタ,FC東京,神戸,1,0
第１６節第１日,j1_2025_05101603_柏_岡山,2025-05-10 16:03:00,三協Ｆ柏,柏,岡山,2,0
第１６節第２日,j1_2025_05111308_清水_町田,2025-05-11 13:08:00,アイスタ,清水,町田,2,2
第１６節第２日,j1_2025_05111310_鹿島_川崎Ｆ,2025-05-11 13:10:00,国立,鹿島,川崎Ｆ,2,1
第１６節第２日,j1_2025_05111403_京都_名古屋,2025-05-11 14:03:00,サンガＳ,京都,名古屋,1,1
第１６節第２日,j1_2025_05111408_新潟_浦和,2025-05-11 14:08:00,デンカＳ,新潟,浦和,1,1
第１６節第２日,j1_2025_05111503_東京Ｖ_湘南,2025-05-11 15:03:00,味スタ,東京Ｖ,湘南,0,2
第１６節第２日,j1_2025_05111503_Ｇ大阪_広島,2025-05-11 15:03:00,パナスタ,Ｇ大阪,広島,0,1
第１６節第２日,j1_2025_05111503_Ｃ大阪_横浜FM,2025-05-11 15:03:00,ヨドコウ,Ｃ大阪,横浜FM,1,0
第１４節第２日,j1_2025_05141903_川崎Ｆ_横浜FC,2025-05-14 19:03:00,Ｕ等々力,川崎Ｆ,横浜FC,2,1
第１４節第２日,j1_2025_05141903_横浜FM_柏,2025-05-14 19:03:00,日産ス,横浜FM,柏,0,2
第１７節第１日,j1_2025_05171403_広島_東京Ｖ,2025-05-17 14:03:00,Ｅピース,広島,東京Ｖ,2,1
第１７節第１日,j1_2025_05171403_神戸_Ｇ大阪,2025-05-17 14:03:00,ノエスタ,神戸,Ｇ大阪,3,2
第１７節第１日,j1_2025_05171403_横浜FM_京都,2025-05-17 14:03:00,日産ス,横浜FM,京都,0,3
第１７節第１日,j1_2025_05171404_町田_柏,2025-05-17 14:04:00,Ｇスタ,町田,柏,3,0
第１７節第１日,j1_2025_05171435_福岡_名古屋,2025-05-17 14:35:00,ベススタ,福岡,名古屋,1,1
第１７節第１日,j1_2025_05171503_湘南_横浜FC,2025-05-17 15:03:00,レモンＳ,湘南,横浜FC,0,1
第１７節第１日,j1_2025_05171504_鹿島_清水,2025-05-17 15:04:00,カシマ,鹿島,清水,1,0
第１７節第１日,j1_2025_05171603_浦和_FC東京,2025-05-17 16:03:00,埼玉,浦和,FC東京,3,2
第１７節第２日,j1_2025_05181503_川崎Ｆ_Ｃ大阪,2025-05-18 15:03:00,Ｕ等々力,川崎Ｆ,Ｃ大阪,2,0
第１７節第２日,j1_2025_05181504_岡山_新潟,2025-05-18 15:04:00,ＪＦＥス,岡山,新潟,2,1
第１３節第２日,j1_2025_05211903_川崎Ｆ_浦和,2025-05-21 19:03:00,Ｕ等々力,川崎Ｆ,浦和,2,2
第１３節第２日,j1_2025_05211903_横浜FM_神戸,2025-05-21 19:03:00,日産ス,横浜FM,神戸,1,2
第１８節第１日,j1_2025_05241503_Ｃ大阪_福岡,2025-05-24 15:03:00,ヨドコウ,Ｃ大阪,福岡,2,0
第１８節第１日,j1_2025_05241733_名古屋_浦和,2025-05-24 17:33:00,豊田ス,名古屋,浦和,2,1
第１８節第２日,j1_2025_05251303_岡山_町田,2025-05-25 13:03:00,ＪＦＥス,岡山,町田,2,2
第１８節第２日,j1_2025_05251403_新潟_湘南,2025-05-25 14:03:00,デンカＳ,新潟,湘南,2,1
第１８節第２日,j1_2025_05251403_清水_神戸,2025-05-25 14:03:00,アイスタ,清水,神戸,3,2
第１８節第２日,j1_2025_05251403_横浜FM_鹿島,2025-05-25 14:03:00,日産ス,横浜FM,鹿島,3,1
第１８節第２日,j1_2025_05251403_横浜FC_柏,2025-05-25 14:03:00,ニッパツ,横浜FC,柏,1,1
第１８節第２日,j1_2025_05251503_東京Ｖ_京都,2025-05-25 15:03:00,味スタ,東京Ｖ,京都,1,0
第１８節第２日,j1_2025_05251504_FC東京_広島,2025-05-25 15:04:00,国立,FC東京,広島,0,3
第１８節第２日,j1_2025_05251603_川崎Ｆ_Ｇ大阪,2025-05-25 16:03:00,Ｕ等々力,川崎Ｆ,Ｇ大阪,2,2
第２２節第１日,j1_2025_05281933_浦和_Ｃ大阪,2025-05-28 19:33:00,埼玉,浦和,Ｃ大阪,0,0
第１９節第１日,j1_2025_05311403_名古屋_新潟,2025-05-31 14:03:00,豊田ス,名古屋,新潟,3,0
第１９節第１日,j1_2025_05311403_町田_横浜FM,2025-05-31 14:03:00,Ｇスタ,町田,横浜FM,0,3
第１９節第１日,j1_2025_05311404_福岡_東京Ｖ,2025-05-31 14:04:00,ベススタ,福岡,東京Ｖ,0,0
第１９節第１日,j1_2025_05311603_柏_神戸,2025-05-31 16:03:00,三協Ｆ柏,柏,神戸,1,3
第１９節第１日,j1_2025_05311733_広島_川崎Ｆ,2025-05-31 17:33:00,Ｅピース,広島,川崎Ｆ,1,2
第１９節第１日,j1_2025_05311803_Ｇ大阪_鹿島,2025-05-31 18:03:00,パナスタ,Ｇ大阪,鹿島,0,1
第１９節第１日,j1_2025_05311903_京都_FC東京,2025-05-31 19:03:00,サンガＳ,京都,FC東京,3,0
第１９節第２日,j1_2025_06011503_Ｃ大阪_清水,2025-06-01 15:03:00,ヨドコウ,Ｃ大阪,清水,4,2
第１９節第２日,j1_2025_06011503_湘南_岡山,2025-06-01 15:03:00,レモンＳ,湘南,岡山,1,1
第１９節第２日,j1_2025_06011604_浦和_横浜FC,2025-06-01 16:04:00,埼玉,浦和,横浜FC,2,1
第２０節第２日,j1_2025_06141733_湘南_町田,2025-06-14 17:33:00,レモンＳ,湘南,町田,1,2
第２０節第２日,j1_2025_06141803_横浜FC_川崎Ｆ,2025-06-14 18:03:00,ニッパツ,横浜FC,川崎Ｆ,0,1
第２０節第２日,j1_2025_06141803_鹿島_広島,2025-06-14 18:03:00,カシマ,鹿島,広島,1,1
第２０節第２日,j1_2025_06141903_FC東京_Ｃ大阪,2025-06-14 19:03:00,味スタ,FC東京,Ｃ大阪,2,2
第２０節第３日,j1_2025_06151403_新潟_横浜FM,2025-06-15 14:03:00,デンカＳ,新潟,横浜FM,1,0
第２０節第３日,j1_2025_06151803_神戸_名古屋,2025-06-15 18:03:00,ノエスタ,神戸,名古屋,2,1
第２０節第３日,j1_2025_06151804_東京Ｖ_柏,2025-06-15 18:04:00,味スタ,東京Ｖ,柏,0,3
第２０節第３日,j1_2025_06151804_岡山_福岡,2025-06-15 18:04:00,ＪＦＥス,岡山,福岡,0,1
第２０節第３日,j1_2025_06151833_清水_Ｇ大阪,2025-06-15 18:33:00,アイスタ,清水,Ｇ大阪,0,0
第２１節第１日,j1_2025_06211603_町田_鹿島,2025-06-21 16:03:00,Ｇスタ,町田,鹿島,2,1
第２１節第１日,j1_2025_06211603_福岡_新潟,2025-06-21 16:03:00,ベススタ,福岡,新潟,3,2
第２１節第１日,j1_2025_06211833_Ｃ大阪_東京Ｖ,2025-06-21 18:33:00,ヨドコウ,Ｃ大阪,東京Ｖ,2,1
第２１節第１日,j1_2025_06211903_川崎Ｆ_神戸,2025-06-21 19:03:00,Ｕ等々力,川崎Ｆ,神戸,1,2
第２１節第１日,j1_2025_06211903_柏_京都,2025-06-21 19:03:00,三協Ｆ柏,柏,京都,3,3
第２１節第１日,j1_2025_06211903_名古屋_清水,2025-06-21 19:03:00,豊田ス,名古屋,清水,1,1
第２１節第１日,j1_2025_06211903_横浜FM_岡山,2025-06-21 19:03:00,日産ス,横浜FM,岡山,0,1
第２１節第２日,j1_2025_06221803_横浜FC_広島,2025-06-22 18:03:00,ニッパツ,横浜FC,広島,0,4
第２１節第２日,j1_2025_06221833_Ｇ大阪_FC東京,2025-06-22 18:33:00,パナスタ,Ｇ大阪,FC東京,2,0
第１５節第３日,j1_2025_06251903_川崎Ｆ_新潟,2025-06-25 19:03:00,Ｕ等々力,川崎Ｆ,新潟,3,1
第１５節第３日,j1_2025_06251933_横浜FM_FC東京,2025-06-25 19:33:00,日産ス,横浜FM,FC東京,0,3
第２２節第２日,j1_2025_06281803_鹿島_岡山,2025-06-28 18:03:00,カシマ,鹿島,岡山,1,2
第２２節第２日,j1_2025_06281833_清水_柏,2025-06-28 18:33:00,アイスタ,清水,柏,0,2
第２２節第２日,j1_2025_06281903_京都_Ｇ大阪,2025-06-28 19:03:00,サンガＳ,京都,Ｇ大阪,3,1
第２２節第２日,j1_2025_06281903_広島_名古屋,2025-06-28 19:03:00,Ｅピース,広島,名古屋,1,2
第２２節第２日,j1_2025_06281903_福岡_神戸,2025-06-28 19:03:00,ベススタ,福岡,神戸,0,0
第２２節第２日,j1_2025_06281903_FC東京_横浜FC,2025-06-28 19:03:00,味スタ,FC東京,横浜FC,2,1
第２２節第２日,j1_2025_06281903_湘南_横浜FM,2025-06-28 19:03:00,レモンＳ,湘南,横浜FM,1,1
第２２節第３日,j1_2025_06291803_新潟_町田,2025-06-29 18:03:00,デンカＳ,新潟,町田,0,4
第２２節第３日,j1_2025_06291803_東京Ｖ_川崎Ｆ,2025-06-29 18:03:00,味スタ,東京Ｖ,川崎Ｆ,1,0
第５節第４日,j1_2025_07021903_神戸_広島,2025-07-02 19:03:00,ノエスタ,神戸,広島,1,0
第２３節第１日,j1_2025_07051803_町田_清水,2025-07-05 18:03:00,Ｇスタ,町田,清水,3,0
第２３節第１日,j1_2025_07051901_岡山_広島,2025-07-05 19:01:00,ＪＦＥス,岡山,広島,0,1
