節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result
第９節第２日,j1_2025_04061503_湘南_名古屋,2025-04-06 15:03:00,湘南,名古屋,2,1,0.3685,True,0.312,0.406,0.282,H,H,True,H
第１０節第１日,j1_2025_04111903_FC東京_柏,2025-04-11 19:03:00,FC東京,柏,1,1,-0.3158,False,0.274,0.422,0.303,A,D,False,A
第１０節第２日,j1_2025_04121403_Ｇ大阪_名古屋,2025-04-12 14:03:00,Ｇ大阪,名古屋,2,0,1.2106,True,0.327,0.418,0.255,H,H,True,H
第１０節第２日,j1_2025_04121403_清水_川崎Ｆ,2025-04-12 14:03:00,清水,川崎Ｆ,1,1,-0.1053,False,0.278,0.427,0.295,A,D,False,A
第１０節第２日,j1_2025_04121403_広島_岡山,2025-04-12 14:03:00,広島,岡山,0,1,0.7369,True,0.385,0.413,0.202,H,A,False,H
第１０節第２日,j1_2025_04121403_福岡_横浜FM,2025-04-12 14:03:00,福岡,横浜FM,2,1,0.579,True,0.345,0.406,0.248,H,H,True,H
第１０節第２日,j1_2025_04121503_東京Ｖ_神戸,2025-04-12 15:03:00,東京Ｖ,神戸,0,1,-0.1052,False,0.232,0.399,0.369,A,A,True,A
第１０節第２日,j1_2025_04121505_Ｃ大阪_鹿島,2025-04-12 15:05:00,Ｃ大阪,鹿島,1,0,-0.1579,False,0.306,0.424,0.27,H,H,True,H
第１０節第２日,j1_2025_04121603_京都_湘南,2025-04-12 16:03:00,京都,湘南,2,0,1.1579,True,0.352,0.405,0.243,H,H,True,H
第１０節第３日,j1_2025_04131403_町田_浦和,2025-04-13 14:03:00,町田,浦和,0,2,0.6842,True,0.327,0.416,0.257,H,A,False,H
第１０節第３日,j1_2025_04131403_新潟_横浜FC,2025-04-13 14:03:00,新潟,横浜FC,0,0,0.1053,True,0.339,0.394,0.266,H,D,False,H
第１１節第１日,j1_2025_04191403_新潟_京都,2025-04-19 14:03:00,新潟,京都,1,2,-1.0526,False,0.245,0.409,0.346,A,A,True,A
第１１節第２日,j1_2025_04201403_横浜FC_Ｇ大阪,2025-04-20 14:03:00,横浜FC,Ｇ大阪,1,1,0.1053,True,0.247,0.404,0.349,A,D,False,A
第１１節第２日,j1_2025_04201403_名古屋_広島,2025-04-20 14:03:00,名古屋,広島,2,1,-0.2632,False,0.231,0.425,0.344,A,H,False,A
第１１節第２日,j1_2025_04201403_神戸_町田,2025-04-20 14:03:00,神戸,町田,1,0,0.2632,True,0.298,0.422,0.28,H,H,True,H
第１１節第２日,j1_2025_04201403_岡山_鹿島,2025-04-20 14:03:00,岡山,鹿島,1,2,-0.421,False,0.275,0.408,0.317,A,A,True,A
第１１節第２日,j1_2025_04201404_清水_福岡,2025-04-20 14:04:00,清水,福岡,3,1,0.2632,True,0.313,0.419,0.268,H,H,True,H
第１１節第２日,j1_2025_04201503_Ｃ大阪_FC東京,2025-04-20 15:03:00,Ｃ大阪,FC東京,1,1,0.421,True,0.321,0.426,0.253,H,D,False,H
第１１節第２日,j1_2025_04201503_湘南_柏,2025-04-20 15:03:00,湘南,柏,0,1,-0.6842,False,0.252,0.409,0.339,A,A,True,A
第１１節第２日,j1_2025_04201503_川崎Ｆ_東京Ｖ,2025-04-20 15:03:00,川崎Ｆ,東京Ｖ,0,0,0.7368,True,0.437,0.39,0.173,H,D,False,H
第１１節第２日,j1_2025_04201603_浦和_横浜FM,2025-04-20 16:03:00,浦和,横浜FM,3,1,1.3158,True,0.349,0.405,0.246,H,H,True,H
第１２節第１日,j1_2025_04161903_横浜FM_清水,2025-04-16 19:03:00,横浜FM,清水,2,3,0.3684,True,0.257,0.412,0.331,A,A,True,A
第１２節第１日,j1_2025_04161903_神戸_川崎Ｆ,2025-04-16 19:03:00,神戸,川崎Ｆ,2,1,0.421,True,0.275,0.427,0.298,A,H,False,A
第１２節第２日,j1_2025_04251903_東京Ｖ_Ｃ大阪,2025-04-25 19:03:00,東京Ｖ,Ｃ大阪,1,0,0.2632,True,0.22,0.404,0.376,A,H,False,A
第１２節第２日,j1_2025_04251903_町田_湘南,2025-04-25 19:03:00,町田,湘南,0,1,1.0,True,0.36,0.405,0.235,H,A,False,H
第１２節第２日,j1_2025_04251903_京都_横浜FC,2025-04-25 19:03:00,京都,横浜FC,2,1,1.0526,True,0.414,0.393,0.193,H,H,True,H
第１２節第２日,j1_2025_04251903_福岡_岡山,2025-04-25 19:03:00,福岡,岡山,1,1,0.4211,True,0.341,0.406,0.252,H,D,False,H
第１２節第２日,j1_2025_04251903_鹿島_名古屋,2025-04-25 19:03:00,鹿島,名古屋,1,0,1.5264,True,0.339,0.414,0.247,H,H,True,H
第１２節第２日,j1_2025_04251933_FC東京_Ｇ大阪,2025-04-25 19:33:00,FC東京,Ｇ大阪,3,0,0.4211,True,0.297,0.422,0.281,H,H,True,H
第１２節第２日,j1_2025_04251933_浦和_広島,2025-04-25 19:33:00,浦和,広島,1,0,0.421,True,0.253,0.426,0.321,A,H,False,A
第１２節第３日,j1_2025_04261403_柏_新潟,2025-04-26 14:03:00,柏,新潟,1,1,1.6842,True,0.392,0.404,0.204,H,D,False,H
第１３節第１日,j1_2025_04291309_FC東京_清水,2025-04-29 13:09:00,FC東京,清水,0,2,0.4737,True,0.287,0.422,0.291,A,A,True,A
第１３節第１日,j1_2025_04291403_広島_新潟,2025-04-29 14:03:00,広島,新潟,0,1,1.3158,True,0.397,0.411,0.192,H,A,False,H
第１３節第１日,j1_2025_04291403_岡山_東京Ｖ,2025-04-29 14:03:00,岡山,東京Ｖ,0,1,0.4737,True,0.383,0.383,0.234,H,A,False,H
第１３節第１日,j1_2025_04291403_名古屋_柏,2025-04-29 14:03:00,名古屋,柏,1,2,-0.2632,False,0.253,0.419,0.328,A,A,True,A
第１３節第１日,j1_2025_04291403_横浜FC_鹿島,2025-04-29 14:03:00,横浜FC,鹿島,0,3,-0.5789,False,0.232,0.399,0.369,A,A,True,A
第１３節第１日,j1_2025_04291503_Ｇ大阪_京都,2025-04-29 15:03:00,Ｇ大阪,京都,2,1,0.1053,True,0.276,0.421,0.303,A,H,False,A
第１３節第１日,j1_2025_04291503_Ｃ大阪_町田,2025-04-29 15:03:00,Ｃ大阪,町田,1,2,0.0,False,0.307,0.426,0.267,H,A,False,H
第１３節第１日,j1_2025_04291503_湘南_福岡,2025-04-29 15:03:00,湘南,福岡,0,0,0.0527,True,0.273,0.405,0.321,A,D,False,A
第１３節第２日,j1_2025_05211903_川崎Ｆ_浦和,2025-05-21 19:03:00,川崎Ｆ,浦和,2,2,0.6842,True,0.335,0.421,0.244,H,D,False,H
第１３節第２日,j1_2025_05211903_横浜FM_神戸,2025-05-21 19:03:00,横浜FM,神戸,1,2,-0.1579,False,0.247,0.411,0.343,A,A,True,A
第１４節第１日,j1_2025_05031303_広島_福岡,2025-05-03 13:03:00,広島,福岡,2,1,0.7369,True,0.334,0.425,0.241,H,H,True,H
第１４節第１日,j1_2025_05031403_新潟_FC東京,2025-05-03 14:03:00,新潟,FC東京,2,3,-0.3684,False,0.271,0.412,0.318,A,A,True,A
第１４節第１日,j1_2025_05031403_清水_名古屋,2025-05-03 14:03:00,清水,名古屋,0,3,0.579,True,0.341,0.417,0.241,H,A,False,H
第１４節第１日,j1_2025_05031503_Ｇ大阪_湘南,2025-05-03 15:03:00,Ｇ大阪,湘南,4,0,1.3685,True,0.343,0.407,0.25,H,H,True,H
第１４節第１日,j1_2025_05031503_鹿島_町田,2025-05-03 15:03:00,鹿島,町田,1,0,0.6843,True,0.308,0.418,0.274,H,H,True,H
第１４節第１日,j1_2025_05031503_浦和_東京Ｖ,2025-05-03 15:03:00,浦和,東京Ｖ,2,0,1.3684,True,0.409,0.388,0.203,H,H,True,H
第１４節第１日,j1_2025_05031503_神戸_岡山,2025-05-03 15:03:00,神戸,岡山,2,0,0.7895,True,0.358,0.408,0.234,H,H,True,H
第１４節第１日,j1_2025_05031903_京都_Ｃ大阪,2025-05-03 19:03:00,京都,Ｃ大阪,2,3,0.5789,True,0.311,0.426,0.264,H,A,False,H
第１４節第２日,j1_2025_05141903_川崎Ｆ_横浜FC,2025-05-14 19:03:00,川崎Ｆ,横浜FC,2,1,0.8947,True,0.424,0.396,0.18,H,H,True,H
