snapshot_date,asof_date,league,season,source_file,page_label,title,section_title,chart_index,metric_x_name,metric_x_value,metric_y_name,metric_y_value,team_short,team_name,team_key
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.86,AGI,49.7,札幌,札幌,札幌
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.57,AGI,50.6,藤枝,藤枝,藤枝
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1.43,AGI,52.7,岐阜,岐阜,岐阜
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.57,AGI,47.1,滋賀,レイラック滋賀FC,レイラック滋賀FC
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.71,AGI,59.2,FC大阪,FC大阪,FC大阪
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.57,AGI,43.7,奈良,奈良クラブ,奈良クラブ
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.71,AGI,32.6,鳥取,鳥取,鳥取
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.86,AGI,47.6,山口,山口,山口
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,0.86,AGI,47.7,讃岐,讃岐,讃岐
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,2.57,AGI,46.7,徳島,徳島,徳島
20260324,20260324,j2,2026,agi_kage.html,"AGI,KAGI","リーグサマリー:2026 J2J3百年構想リーグ AGI,KAGI | データによってサッカーはもっと輝く | Football LAB","AGI,KAGI",1,ゴール,1,AGI,55.7,愛媛,愛媛,愛媛
