league,season_year,tag,hfa_elo,elo_diff_scale,draw_assign_by_expectation,rows,pred_count_total,force_draw_count,final_H_cnt,final_D_cnt,final_A_cnt,final_H_pct,final_D_pct,final_A_pct,pred_H_final,pred_D_final,pred_A_final,rate_H_final,rate_D_final,rate_A_final,argmax_H_cnt,argmax_D_cnt,argmax_A_cnt,argmax_H_pct,argmax_D_pct,argmax_A_pct,pred_H_argmax,pred_D_argmax,pred_A_argmax,rate_H_argmax,rate_D_argmax,rate_A_argmax,mean_prob_home,mean_prob_draw,mean_prob_away,prob_mean_home,prob_mean_draw,prob_mean_away,acc,logloss,backtest_rows
j1,2026,hfa10p000_s1p500_draw0,10.0,1.5,0,140,140,0,78,18,44,55.714285714285715,12.857142857142858,31.428571428571427,78,18,44,55.714285714285715,12.857142857142858,31.428571428571427,78,18,44,55.714285714285715,12.857142857142858,31.428571428571427,78,18,44,55.714285714285715,12.857142857142858,31.428571428571427,0.4050974413753562,0.21876472315777756,0.3761378354668663,0.4050974413753562,0.21876472315777756,0.3761378354668663,0.26666666666666666,1.556497619354452,15
j1,2026,hfa10p000_s1p500_draw1,10.0,1.5,1,140,140,29,70,30,40,50.0,21.428571428571427,28.571428571428573,70,30,40,50.0,21.428571428571427,28.571428571428573,78,18,44,55.714285714285715,12.857142857142858,31.428571428571427,78,18,44,55.714285714285715,12.857142857142858,31.428571428571427,0.4050974413753562,0.21876472315777756,0.3761378354668663,0.4050974413753562,0.21876472315777756,0.3761378354668663,0.3333333333333333,1.556497619354452,15
j1,2026,hfa20p000_s0p500_draw0,20.0,0.5,0,140,140,0,80,38,22,57.142857142857146,27.142857142857142,15.714285714285714,80,38,22,57.142857142857146,27.142857142857142,15.714285714285714,80,38,22,57.142857142857146,27.142857142857142,15.714285714285714,80,38,22,57.142857142857146,27.142857142857142,15.714285714285714,0.3805825478894351,0.30764224249991967,0.31177520961064514,0.3805825478894351,0.30764224249991967,0.31177520961064514,0.2,1.168828158372569,15
j1,2026,hfa20p000_s0p500_draw1,20.0,0.5,1,140,140,42,70,48,22,50.0,34.285714285714285,15.714285714285714,70,48,22,50.0,34.285714285714285,15.714285714285714,80,38,22,57.142857142857146,27.142857142857142,15.714285714285714,80,38,22,57.142857142857146,27.142857142857142,15.714285714285714,0.3805825478894351,0.30764224249991967,0.31177520961064514,0.3805825478894351,0.30764224249991967,0.31177520961064514,0.3333333333333333,1.168828158372569,15
j1,2026,hfa20p000_s1p000_draw0,20.0,1.0,0,140,140,0,84,23,33,60.0,16.428571428571427,23.571428571428573,84,23,33,60.0,16.428571428571427,23.571428571428573,84,23,33,60.0,16.428571428571427,23.571428571428573,84,23,33,60.0,16.428571428571427,23.571428571428573,0.40614310066294584,0.25317524798766666,0.34068165134938744,0.40614310066294584,0.25317524798766666,0.34068165134938744,0.13333333333333333,1.385415103017563,15
j1,2026,hfa20p000_s1p000_draw1,20.0,1.0,1,140,140,34,75,36,29,53.57142857142857,25.714285714285715,20.714285714285715,75,36,29,53.57142857142857,25.714285714285715,20.714285714285715,84,23,33,60.0,16.428571428571427,23.571428571428573,84,23,33,60.0,16.428571428571427,23.571428571428573,0.40614310066294584,0.25317524798766666,0.34068165134938744,0.40614310066294584,0.25317524798766666,0.34068165134938744,0.26666666666666666,1.385415103017563,15
j1,2026,hfa20p000_s1p500_draw0,20.0,1.5,0,140,140,0,86,15,39,61.42857142857143,10.714285714285714,27.857142857142858,86,15,39,61.42857142857143,10.714285714285714,27.857142857142858,86,15,39,61.42857142857143,10.714285714285714,27.857142857142858,86,15,39,61.42857142857143,10.714285714285714,27.857142857142858,0.42478275315017405,0.21128800713402665,0.36392923971579927,0.42478275315017405,0.21128800713402665,0.36392923971579927,0.13333333333333333,1.625385478125877,15
j1,2026,hfa20p000_s1p500_draw1,20.0,1.5,1,140,140,29,77,31,32,55.0,22.142857142857142,22.857142857142858,77,31,32,55.0,22.142857142857142,22.857142857142858,86,15,39,61.42857142857143,10.714285714285714,27.857142857142858,86,15,39,61.42857142857143,10.714285714285714,27.857142857142858,0.42478275315017405,0.21128800713402665,0.36392923971579927,0.42478275315017405,0.21128800713402665,0.36392923971579927,0.26666666666666666,1.625385478125877,15
j1,2026,hfa35p000_s0p500_draw0,35.0,0.5,0,140,140,0,94,29,17,67.14285714285714,20.714285714285715,12.142857142857142,94,29,17,67.14285714285714,20.714285714285715,12.142857142857142,94,29,17,67.14285714285714,20.714285714285715,12.142857142857142,94,29,17,67.14285714285714,20.714285714285715,12.142857142857142,0.39235560536517594,0.29763979388880174,0.3100046007460224,0.39235560536517594,0.29763979388880174,0.3100046007460224,0.06666666666666667,1.2139721221800455,15
j1,2026,hfa35p000_s0p500_draw1,35.0,0.5,1,140,140,42,82,45,13,58.57142857142857,32.142857142857146,9.285714285714286,82,45,13,58.57142857142857,32.142857142857146,9.285714285714286,94,29,17,67.14285714285714,20.714285714285715,12.142857142857142,94,29,17,67.14285714285714,20.714285714285715,12.142857142857142,0.39235560536517594,0.29763979388880174,0.3100046007460224,0.39235560536517594,0.29763979388880174,0.3100046007460224,0.3333333333333333,1.2139721221800455,15
j1,2026,hfa35p000_s1p000_draw0,35.0,1.0,0,140,140,0,100,15,25,71.42857142857143,10.714285714285714,17.857142857142858,100,15,25,71.42857142857143,10.714285714285714,17.857142857142858,100,15,25,71.42857142857143,10.714285714285714,17.857142857142858,100,15,25,71.42857142857143,10.714285714285714,17.857142857142858,0.428112572480557,0.23800204777525005,0.3338853797441929,0.428112572480557,0.23800204777525005,0.3338853797441929,0.0,1.4818271526180955,15
j1,2026,hfa35p000_s1p000_draw1,35.0,1.0,1,140,140,31,85,34,21,60.714285714285715,24.285714285714285,15.0,85,34,21,60.714285714285715,24.285714285714285,15.0,100,15,25,71.42857142857143,10.714285714285714,17.857142857142858,100,15,25,71.42857142857143,10.714285714285714,17.857142857142858,0.428112572480557,0.23800204777525005,0.3338853797441929,0.428112572480557,0.23800204777525005,0.3338853797441929,0.26666666666666666,1.4818271526180955,15
j1,2026,hfa35p000_s1p500_draw0,35.0,1.5,0,140,140,0,100,11,29,71.42857142857143,7.857142857142857,20.714285714285715,100,11,29,71.42857142857143,7.857142857142857,20.714285714285715,100,11,29,71.42857142857143,7.857142857142857,20.714285714285715,100,11,29,71.42857142857143,7.857142857142857,20.714285714285715,0.4551770144850442,0.19424125182780716,0.3505817336871487,0.4551770144850442,0.19424125182780716,0.3505817336871487,0.0,1.7759810827233555,15
j1,2026,hfa35p000_s1p500_draw1,35.0,1.5,1,140,140,28,87,29,24,62.142857142857146,20.714285714285715,17.142857142857142,87,29,24,62.142857142857146,20.714285714285715,17.142857142857142,100,11,29,71.42857142857143,7.857142857142857,20.714285714285715,100,11,29,71.42857142857143,7.857142857142857,20.714285714285715,0.4551770144850442,0.19424125182780716,0.3505817336871487,0.4551770144850442,0.19424125182780716,0.3505817336871487,0.26666666666666666,1.7759810827233555,15
